ID	source_form	phon_form	notes	source	cognate_class
1	SAV			DyenDB	2
4	PEPEO			DyenDB	3
10	TRBUH			DyenDB	4
11	VELIK			DyenDB	6
13	UGRISTI			DyenDB	6
14	CRN			DyenDB	4
15	KRV			DyenDB	5
19	DISATI			DyenDB	2
21	DETE			DyenDB	4
27	DAN			DyenDB	3
28	UMRETI			DyenDB	3
30	PRLJAV			DyenDB	9
32	PITI			DyenDB	4
34	TUP			DyenDB	2
38	JESTI			DyenDB	6
39	JAJE			DyenDB	7
40	OKO			DyenDB	2
48	BORITI SE			DyenDB	8
51	RIBA			DyenDB	3
52	PET			DyenDB	2
53	PLOVITI			DyenDB	5
54	TECI			DyenDB	4
58	NOGA			DyenDB	3
59	CETIRI			DyenDB	2
64	DOBAR			DyenDB	4
65	TRAVA			DyenDB	6
68	KOSA			DyenDB	9
69	RUKA			DyenDB	5
71	GLAVA			DyenDB	2
74	TEZAK			DyenDB	7
77	DRZATI			DyenDB	10
80	LOVITI			DyenDB	5
86	UBITI			DyenDB	8
89	JEZERO			DyenDB	2
90	SMIJATI SE			DyenDB	4
91	LIST			DyenDB	2
92	LJEVICA			DyenDB	9
93	NOGA			DyenDB	3
94	LEZATI			DyenDB	3
95	ZIVITI			DyenDB	5
101	MESO			DyenDB	7
106	IME			DyenDB	3
108	BLIZU			DyenDB	2
109	VRAT			DyenDB	6
111	NOC			DyenDB	4
112	NOS			DyenDB	5
113	NE			DyenDB	5
114	STAR			DyenDB	2
117	OSOBA			DyenDB	2
120	GURATI			DyenDB	7
122	CRVEN			DyenDB	5
123	ISPRAVNO			DyenDB	2
124	DESNICA			DyenDB	2
125	REKA			DyenDB	3
126	PUT			DyenDB	4
127	KOREN			DyenDB	4
129	GNJIO			DyenDB	4
131	TRENJE			DyenDB	3
132	SOL			DyenDB	2
133	PESAK			DyenDB	2
137	VIDETI			DyenDB	3
141	KRATAK			DyenDB	12
142	PEVATI			DyenDB	6
144	KOZA			DyenDB	5
145	NEBO			DyenDB	2
147	MALI			DyenDB	11
148	MIRISATI			DyenDB	4
151	ZMIJA			DyenDB	4
152	SNEG			DyenDB	4
159	ZVEZDA			DyenDB	3
161	KAMEN			DyenDB	6
162	USPRAVAN			DyenDB	9
166	PLIVATI			DyenDB	3
167	REP			DyenDB	8
171	DEBEO			DyenDB	7
172	TANAK			DyenDB	2
176	TRI			DyenDB	2
178	VEZATI			DyenDB	2
180	ZUB			DyenDB	2
182	OKRENUTI SE			DyenDB	11
183	DVA			DyenDB	2
186	TOPLO			DyenDB	6
188	VODA			DyenDB	4
189	MI			DyenDB	2
190	MOKAR			DyenDB	7
191	STO			DyenDB	3
196	SIROK			DyenDB	5
199	KRILO			DyenDB	3
200	OBRISAC			DyenDB	5
206	GODINA			DyenDB	5
