ID	source_form	phon_form	notes	source	cognate_class	reliability
1	OKKAMA			DyenDB	200	B
2	SAHA			DyenDB		A
3	SATA			DyenDB		A
4	ALU			DyenDB		A
5	E			DyenDB		A
6	PASSA			DyenDB	6	A
7	NARAKA			DyenDB		A
8	POTTA			DyenDB	210	A
9	NISA			DyenDB		A
10	BADA			DyenDB	101	A
11	LOKU			DyenDB		A
12	KURULLA			DyenDB		A
14	KALU			DyenDB	2	A
15	LE			DyenDB	8	A
17	KATUWA			DyenDB		A
21	LAMAYA, DARUVA			DyenDB		A
22	VALAKULA			DyenDB		A
23	SI TALA			DyenDB	6	A
27	DAVAL			DyenDB	3	A
30	KILUTU			DyenDB		A
31	BALLA			DyenDB		A
33	VELICCA, VIYALI			DyenDB		A
34	MOTTA			DyenDB		A
35	DUWILI			DyenDB	206	A
36	KANA			DyenDB	3	A
37	PASA			DyenDB	100	A
39	BITTARA			DyenDB		A
40	ASA			DyenDB	2	A
42	DURA			DyenDB	7	A
43	TELA			DyenDB	100	A
44	PIYA, TATTA			DyenDB	200	B
46	PIHATTA			DyenDB	100	A
47	TIKA			DyenDB		A
50	GINDARA			DyenDB		A
51	MALU			DyenDB	2	A
52	PAHA			DyenDB	2	A
55	MALA			DyenDB		A
57	MIOUMA			DyenDB		A
58	KAKULA, PAYA			DyenDB	200	A
59	HATARA			DyenDB	2	A
61	PALATURU, PHALA			DyenDB	2	A
64	HONDA			DyenDB		A
65	TANAKOLA			DyenDB		A
66	KOLA			DyenDB		A
67	BADAVEL(A)			DyenDB		A
68	KES, KONDE			DyenDB	204	A
69	ATA			DyenDB	200	A
70	OHU			DyenDB	213	A
71	OLUWA, HISA			DyenDB		A
73	PAPUWA, HRADAYA			DyenDB	200	A
74	BARA			DyenDB	200	A
75	METANA			DyenDB		A
77	ALLAGANAWA			DyenDB		A
79	KOHOMADA			DyenDB	200	A
81	PURUSAYA, SWAMIYA			DyenDB	9	A
82	MAMA			DyenDB	200	A
83	HIMA			DyenDB	7	A
84	TOT			DyenDB	100	A
85	HI ATULA			DyenDB		A
88	KARUNU/DANNAWA			DyenDB	200	A
89	WEWA			DyenDB		A
91	KOLAYA			DyenDB		A
92	VAMATA			DyenDB	203	A
93	KAKULA			DyenDB		A
96	PIKUDU			DyenDB		A
97	DIGA			DyenDB	200	A
98	TADIYA			DyenDB		A
99	MINIHA			DyenDB	203	A
100	HUNGAK			DyenDB	100	A
101	MAS			DyenDB	7	A
103	MAVA, AMMA			DyenDB	200	B
104	KANDA			DyenDB		A
105	KATA			DyenDB		A
106	NAMA			DyenDB	3	A
107	PATU			DyenDB		A
108	LANGA			DyenDB		A
109	KARA			DyenDB	209	A
110	NAVA, ALUT			DyenDB	200	A
111	RA			DyenDB	3	A
112	NAHAYA			DyenDB	5	A
113	NAHA			DyenDB	5	A
114	NAKI			DyenDB		A
115	EKA			DyenDB	200	A
116	ARA, ANEK			DyenDB	8	A
117	MINIHA			DyenDB	209	A
122	RATA, RATU			DyenDB	4	A
123	HARI			DyenDB		A
124	DAKUNATA			DyenDB	2	A
125	GANGA			DyenDB	8	A
126	PARA			DyenDB		A
127	MULA			DyenDB	200	A
128	LANUWA			DyenDB		A
129	DIRACCA			DyenDB		A
131	MADINAWA			DyenDB		A
132	LUNU			DyenDB	200	A
133	VALI			DyenDB	200	A
135	KASANAWA			DyenDB	200	A
136	MUHUDA			DyenDB		A
138	ATA, BIJA			DyenDB	2	A
140	MUHATA			DyenDB		A
141	KOTA			DyenDB	100	A
144	HAMA			DyenDB		A
145	AHASA			DyenDB	6	A
147	PODI, KUDA			DyenDB	207	A
149	DUMA			DyenDB	200	A
150	SILINOU			DyenDB		A
151	NAYA			DyenDB	200	B
152	HIMA			DyenDB	200	A
153	TIKA			DyenDB		A
159	TARUVA			DyenDB	4	A
160	DARA/KALLA, DARA/KOTTA			DyenDB	100	A
161	GALA			DyenDB		A
162	KELIN			DyenDB		A
164	IRA			DyenDB		A
167	VALIGAYA			DyenDB		A
168	AKA			DyenDB	200	B
169	ETANA			DyenDB	203	B
170	OVHU, OHU			DyenDB	210	A
171	MAHATA			DyenDB		A
172	HINI			DyenDB		A
174	ME			DyenDB		A
175	UMBA			DyenDB		A
176	TUNA			DyenDB	2	A
13	HAPANAWA			DyenDB		A
16	HAMANAVA			DyenDB		A
19	HUSMA/GANAWA			DyenDB		A
20	PICCENAWA			DyenDB		A
24	ANAWA			DyenDB	200	A
25	GANAN/KARANAWA			DyenDB	2	A
26	KAPANAWA			DyenDB	10	A
28	MARENAWA			DyenDB	3	A
29	HARANAWA			DyenDB		A
32	BONAWA			DyenDB		A
38	KANAWA			DyenDB	200	A
41	VITENAWA			DyenDB		A
45	BAYA			DyenDB	200	A
48	SANDU/KARANWA			DyenDB		A
53	PAVENAWA			DyenDB	102	A
54	GALANAWA			DyenDB		A
56	PIHA/BINAWA			DyenDB		A
60	SITA/KARANAWA			DyenDB		A
63	DENAWA			DyenDB	200	A
72	AHANAWA			DyenDB		A
76	GAHANAWA			DyenDB	210	A
80	DADAYAM/KARANAWA			DyenDB		A
86	MARANAWA			DyenDB	200	A
90	HINAWENAWA			DyenDB		A
94	ALA/WENAWA			DyenDB		A
95	JIVAT/WENAWA			DyenDB	5	A
118	SELLAM/KARANAWA			DyenDB		A
119	ADINAWA			DyenDB	101	A
120	TALLU/KARANAWA			DyenDB	216	B
121	VAHINAWA			DyenDB		A
134	KIYANAWA			DyenDB	206	A
137	BALANAVA			DyenDB		A
139	MAHANAWA			DyenDB		A
142	SINOU/KIYANAWA			DyenDB		A
143	INDAGANAWA			DyenDB		A
146	NIDIYAGANAWA			DyenDB	6	A
148	IMBINAWA			DyenDB		A
154	KELAGAHANAWA			DyenDB		A
155	PALANAWA			DyenDB	200	A
156	MIRIKANAWA			DyenDB		A
157	ANINAWA			DyenDB		A
158	HITAGANAWA			DyenDB		A
163	URANAWA			DyenDB		A
165	IDIMENAWA			DyenDB		A
166	PINANAWA			DyenDB		A
173	HITANAWA			DyenDB		A
177	VISI/KARAWA			DyenDB		A
178	BANDINAWA			DyenDB	203	A
182	HARENAWA			DyenDB		A
184	VAMARANAWA			DyenDB	4	A
185	AVIDINAWA			DyenDB		A
187	SODANAWA			DyenDB	100	A
179	DIVA			DyenDB	200	A
180	DATA			DyenDB	3	A
181	GASA			DyenDB	203	A
183	DEKA			DyenDB	2	A
186	RASNE			DyenDB		A
188	WATURA			DyenDB	4	A
189	API			DyenDB	2	A
190	TETA			DyenDB		A
191	MOKADA			DyenDB		A
192	KOI			DyenDB	200	A
193	KOTANADA			DyenDB	200	A
194	SUDU			DyenDB	100	A
195	KAVUDA			DyenDB	200	A
196	PALAL			DyenDB		A
197	BIRIYA, GANI			DyenDB		A
