ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	VSETKO			DyenDB	001-002	A	001-002
002	A, I			DyenDB	002-200	A	002-201
003	ZVER			DyenDB	003-200	A	003-200
004	POPOL			DyenDB	004-003	A	004-003
005	PRI			DyenDB	005-200	A	005-217
007	ZLY			DyenDB	007-207	A	007-207
008	KORA			DyenDB	008-202	A	008-204
009	BO, LEBO			DyenDB	009-005	A	009-005
010	BRUCHO			DyenDB	010-209	A	010-211
011	VEL KY			DyenDB	011-006	A	011-006
012	VTAK			DyenDB	012-207	A	012-207
013	KUSNUT			DyenDB	013-011	A	013-011
014	CIERNY			DyenDB	014-004	A	014-004
015	KRV			DyenDB	015-005	A	015-005
016	DUT			DyenDB	016-203	A	016-207
017	KOST			DyenDB	017-201	A	017-201
019	DYCHAT			DyenDB	019-002	A	019-002
020	ZHORET, PALIT			DyenDB	020-200	A	020-201
021	DIETA			DyenDB	021-004	A	021-004
022	OBLAK			DyenDB	022-206	A	022-206
023	STUDENY			DyenDB	023-200	A	023-200
024	PRIST			DyenDB	024-203	A	024-203
025	POCITAT			DyenDB	025-009	A	025-009
026	REZAT			DyenDB	026-207	A	026-207
027	DEN			DyenDB	027-003	A	027-003
028	UMIERAT			DyenDB	028-003	A	028-003
029	KOPAT			DyenDB	029-203	A	029-203
030	BRUDNY			DyenDB	030-002	A	030-002
031	PES			DyenDB	031-200	A	031-200
032	PIT			DyenDB	032-004	A	032-004
033	SUCHY			DyenDB	033-205	A	033-205
034	TUPY			DyenDB	034-002	A	034-002
035	PRACH			DyenDB	035-200	A	035-202
036	UCHO			DyenDB	036-200	A	036-200
037	ZEM, PODA			DyenDB	037-200	A	037-201
038	JEST			DyenDB	038-006	A	038-006
039	VAJCE			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	PADAT			DyenDB	041-207	A	041-207
042	D ALEKY			DyenDB	042-205	A	042-205
043	TLSTY			DyenDB	043-204	A	043-204
044	OTEC			DyenDB	044-200	A	044-200
045	BAT SA			DyenDB	045-200	A	045-204
046	PERO			DyenDB	046-200	A	046-200
047	NIEKOLKO, MALO			DyenDB	047-200	A	047-202
048	BIT SA, BOJOVAT , ZAPASIT			DyenDB	048-011	A	048-011
050	OHEN			DyenDB	050-004	A	050-004
051	RYBA			DyenDB	051-003	A	051-003
052	PAT			DyenDB	052-002	A	052-002
053	PLAVAT			DyenDB	053-005	A	053-005
054	PLYNUT			DyenDB	054-200	A	054-200
055	KVET			DyenDB	055-200	A	055-200
056	LETET			DyenDB	056-202	A	056-204
057	HMLA			DyenDB	057-200	A	057-200
058	NOHA			DyenDB	058-003	A	058-003
059	STYRI			DyenDB	059-002	A	059-002
060	MRZNUT			DyenDB	060-005	A	060-005
061	OVOCIE			DyenDB	061-200	A	061-200
063	DAT			DyenDB	063-200	A	063-200
064	DOBRY			DyenDB	064-004	A	064-004
065	TRAVA			DyenDB	065-006	A	065-006
066	TRAVNIK			DyenDB		A	
067	VNUTORNOSTI			DyenDB	067-004	A	067-004
068	VLAS			DyenDB	068-203	A	068-203
