ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	CELO, VSE			DyenDB	001-002	A	001-002
002	IN			DyenDB	002-202	A	002-202
003	ZIVALI			DyenDB	003-200	A	003-202
004	PEPJU			DyenDB	004-003	A	004-003
005	NE, K			DyenDB	005-200	A	005-215
006	HERBET			DyenDB	006-004	A	006-004
007	SLABU			DyenDB	007-006	A	007-006
008	LUPOD DRVA			DyenDB		A	
009	ZATO			DyenDB	009-209	A	009-209
010	TREBUH			DyenDB	010-004	A	010-004
011	VELIKA			DyenDB	011-006	A	011-006
012	TICK			DyenDB	012-207	A	012-207
013	GRIZT			DyenDB	013-006	A	013-006
014	CRNU			DyenDB	014-004	A	014-004
015	KRI			DyenDB	015-005	A	015-005
016	PIHA SAPA			DyenDB		A	
017	KUST			DyenDB	017-201	A	017-201
019	DIHAT, DIHAS			DyenDB	019-002	A	019-002
020	ZGORET			DyenDB	020-200	A	020-200
021	MLAT OTROK			DyenDB	021-008	A	021-008
022	OBLAK			DyenDB	022-206	A	022-206
023	MRAZ (MRZLO UREME)			DyenDB		A	
024	PRTDI			DyenDB	024-203	A	024-203
025	STET			DyenDB	025-009	A	025-009
026	REZAT			DyenDB	026-207	A	026-207
027	DAN			DyenDB	027-003	A	027-003
028	UMRT			DyenDB	028-003	A	028-003
029	KOPAT			DyenDB	029-203	A	029-203
030	UMAZANU			DyenDB	030-006	A	030-006
031	PAS			DyenDB	031-200	A	031-200
032	PIT			DyenDB	032-004	A	032-004
033	SUHO			DyenDB	033-205	A	033-205
034	SKRHAN			DyenDB		A	
035	PRAH			DyenDB	035-200	A	035-202
036	USESU			DyenDB	036-200	A	036-200
037	ZEMLA			DyenDB	037-200	A	037-200
038	JEST			DyenDB	038-006	A	038-006
039	JAJCE			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	PADE			DyenDB	041-207	A	041-207
042	DALEC			DyenDB	042-205	A	042-205
043	MAST			DyenDB	043-204	A	043-207
044	OCE (ATEK)			DyenDB	044-200	A	044-200
045	STRAH			DyenDB	045-010	A	045-010
046	PERU			DyenDB	046-200	A	046-200
047	(MOLO) NEKAJ			DyenDB		A	
048	TJEPES			DyenDB		A	
050	OGEN			DyenDB	050-004	A	050-004
051	RIBA			DyenDB	051-003	A	051-003
052	PJT			DyenDB	052-002	A	052-002
053	PLAVAT			DyenDB	053-005	A	053-005
054	PLAVATI			DyenDB	054-200	A	054-200
055	CVET, RAZE			DyenDB	055-200	A	055-200
056	LETETI			DyenDB	056-202	A	056-204
