ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	TODO			DyenDB	001-003	A	001-003
002	Y			DyenDB	002-204	A	002-204
003	ANIMAL			DyenDB	003-401	C	003-401
004	CENIZA			DyenDB	004-002	A	004-002
005	A			DyenDB	005-200	A	005-202
006	DORSO, ESPALDA			DyenDB	006-200	A	006-205
007	MAL			DyenDB	007-219	A	007-219
008	CORTEZA			DyenDB	008-202	A	008-204
009	PORQUE			DyenDB	009-010	A	009-010
010	VIENTRE			DyenDB	010-200	A	010-201
011	GRANDE			DyenDB	011-207	A	011-209
012	AVE, PAJARO			DyenDB	012-200	A	012-201
013	MORDER			DyenDB	013-003	A	013-003
014	NEGRO			DyenDB	014-005	A	014-005
015	SANGRE			DyenDB	015-003	A	015-003
016	SOPLAR			DyenDB	016-203	A	016-208
017	HUESO			DyenDB	017-200	A	017-200
019	RESPIRAR			DyenDB	019-200	A	019-202
020	ARDER			DyenDB	020-212	A	020-212
021	NINO			DyenDB	021-205	A	021-205
022	NUBE			DyenDB	022-008	A	022-008
023	FRIO			DyenDB	023-003	A	023-003
024	VENIR			DyenDB	024-206	A	024-206
025	CONTAR			DyenDB	025-203	A	025-205
026	CORTAR			DyenDB	026-200	A	026-202
027	DIA			DyenDB	027-003	A	027-003
028	MORIR			DyenDB	028-003	A	028-003
029	CAVAR			DyenDB	029-003	A	029-003
030	SUCIO			DyenDB	030-203	A	030-207
031	PERRO			DyenDB		A	
032	BEBER			DyenDB	032-004	A	032-004
033	SECO, ARIDO			DyenDB	033-202	A	033-202
034	EMBOTADO			DyenDB	034-008	A	034-008
035	POLVO			DyenDB	035-004	A	035-004
036	OREJA			DyenDB	036-200	A	036-200
037	TIERRA			DyenDB	037-205	A	037-205
038	COMER			DyenDB	038-003	A	038-003
039	HUEVO			DyenDB	039-007	A	039-007
040	OJO			DyenDB	040-002	A	040-002
041	CAER			DyenDB	041-003	A	041-003
042	LEJOS			DyenDB		A	
043	GRASA			DyenDB	043-009	A	043-009
044	PADRE			DyenDB	044-209	A	044-210
045	TEMER			DyenDB	045-205	A	045-205
046	PLUMA			DyenDB	046-203	A	046-206
047	POCO			DyenDB	047-002	A	047-002
048	BATALLAR, COMBATIR			DyenDB	048-205	A	048-205
050	FUEGO			DyenDB	050-002	A	050-002
051	PEZ			DyenDB	051-009	A	051-009
052	CINCO			DyenDB	052-002	A	052-002
