ID	source_form	phon_form	notes	source	cognate_class	reliability
001	ALL, ALLT, ALLA			DyenDB	001-004	A
002	OCH			DyenDB	002-002	A
003	DJUR			DyenDB	003-005	A
004	ASKA, STOFT			DyenDB	004-007	A
005	VID, PA, I			DyenDB	005-203	A
006	RYGG			DyenDB	006-209	A
007	DALIG, USEL			DyenDB	007-002	A
008	BARK, GARVARBARK			DyenDB	008-200	A
009	EMEDAN, DARFOR ATT			DyenDB	009-211	A
010	BUK, MAGE			DyenDB	010-207	A
011	GROV			DyenDB		A
012	FAGEL			DyenDB	012-206	A
013	BITA, BITA I			DyenDB	013-002	A
014	SVART			DyenDB	014-003	A
015	BLOD			DyenDB	015-004	A
016	BLASA			DyenDB	016-205	A
017	BEN			DyenDB	017-006	A
019	ANDAS, LEVA			DyenDB	019-200	A
020	BRANNA, FORBRANNE			DyenDB	020-003	A
021	BARN			DyenDB	021-002	A
022	MOLN, SKY			DyenDB	022-203	A
023	KALL			DyenDB	023-002	A
024	KOMMA			DyenDB	024-206	A
025	RAKNA			DyenDB	025-202	A
026	SKARA			DyenDB	026-202	A
027	DAG			DyenDB	027-004	A
028	DO			DyenDB	028-200	A
029	GRAVA			DyenDB	029-205	A
030	SMUTSIG, OREN			DyenDB	030-010	A
031	HUND			DyenDB	031-003	A
032	DRICKA			DyenDB	032-003	A
033	TORR			DyenDB	033-005	A
035	STOFT			DyenDB	035-203	A
036	ORA			DyenDB	036-200	A
037	JORD			DyenDB	037-004	A
038	ATA			DyenDB	038-006	A
039	AGG			DyenDB	039-007	A
040	OGA			DyenDB	040-002	A
041	FALLA			DyenDB	041-200	A
042	FJARRAN			DyenDB	042-200	A
043	FET			DyenDB	043-006	A
044	FADER			DyenDB	044-210	A
045	FARHAGA			DyenDB	045-004	A
046	FJADER			DyenDB	046-203	A
047	FA			DyenDB	047-002	A
048	STRIDA			DyenDB	048-204	A
050	ELD  EN			DyenDB	050-005	A
051	FISK			DyenDB	051-009	A
052	FEM			DyenDB	052-002	A
053	FLYTA			DyenDB	053-005	A
054	FLYTA, RINNA, STROMMA			DyenDB	054-203	A
055	BLOMMA			DyenDB	055-002	A
056	FLYGA			DyenDB	056-006	A
057	TJOKA, DIMMA			DyenDB	057-208	A
058	FOT			DyenDB	058-200	A
059	FYRA			DyenDB	059-002	A
060	FRYSA			DyenDB	060-207	A
061	FRUKT			DyenDB	061-006	A
063	GIVA			DyenDB	063-002	A
064	GOD			DyenDB	064-003	A
065	GRAS			DyenDB	065-007	A
066	GRON			DyenDB	066-003	A
067	TARM			DyenDB	067-205	A
068	HAR			DyenDB	068-004	A
069	HAND			DyenDB	069-003	A
070	HAN			DyenDB	070-203	A
071	HUVUD			DyenDB	071-202	A
072	HORA			DyenDB	072-003	A
073	HJARTA			DyenDB	073-200	A
074	SVAR, STOR			DyenDB	074-008	A
075	HAR			DyenDB	075-003	A
076	SLA			DyenDB	076-200	A
077	FAST  HALLA			DyenDB	077-200	A
079	HUR  U			DyenDB	079-200	A
080	JAGA			DyenDB	080-007	A
081	HUSHALLA			DyenDB		A
082	JAG			DyenDB	082-200	A
083	IS			DyenDB	083-005	A
084	OM, IFALL, SA/VRAMT			DyenDB	084-202	A
085	I, UTI, PA			DyenDB	085-200	A
