ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	ALL			DyenDB	001-004	A	001-004
002	OCH			DyenDB	002-002	A	002-002
003	DJUR			DyenDB	003-005	A	003-005
004	ASKA			DyenDB	004-007	A	004-007
005	AT, VID			DyenDB	005-200	A	005-201
006	RYGG, BAK			DyenDB	006-209	A	006-210
007	DALIG			DyenDB	007-002	A	007-002
008	BARK			DyenDB	008-200	A	008-200
009	EMEDAN			DyenDB	009-210	A	009-210
010	BALG, MAGE			DyenDB	010-204	A	010-205
011	STOR			DyenDB	011-200	A	011-202
012	FAGEL			DyenDB	012-206	A	012-206
013	BITA			DyenDB	013-002	A	013-002
014	SVART			DyenDB	014-003	A	014-003
015	BLOD			DyenDB	015-004	A	015-004
016	BLASA			DyenDB	016-203	A	016-205
017	BEN			DyenDB	017-006	A	017-006
019	ANDAS			DyenDB	019-200	A	019-200
020	BRINNA, BRANNA (TR.)			DyenDB	020-003	A	020-003
021	BARN			DyenDB	021-002	A	021-002
022	MOLN			DyenDB	022-202	A	022-204
023	KALL			DyenDB	023-002	A	023-002
024	KOMMA			DyenDB	024-206	A	024-206
025	RAKNA			DyenDB	025-200	A	025-202
026	KOTTA, SKARA			DyenDB	026-200	A	026-201
027	DAG			DyenDB	027-004	A	027-004
028	DO			DyenDB	028-200	A	028-200
029	GRAVA			DyenDB	029-203	A	029-205
030	LORTIG, SMUTSIG			DyenDB	030-010	A	030-010
031	HUND			DyenDB	031-003	A	031-003
032	DRICKA			DyenDB	032-003	A	032-003
033	TORR			DyenDB	033-005	A	033-005
034	OVASS, SLO			DyenDB	034-200	A	034-201
035	DAMM			DyenDB	035-008	A	035-008
036	ORA			DyenDB	036-200	A	036-200
037	JORD, MARK			DyenDB	037-004	A	037-004
038	ATA			DyenDB	038-006	A	038-006
039	AGG			DyenDB	039-007	A	039-007
040	OGA			DyenDB	040-002	A	040-002
041	FALLA			DyenDB	041-200	A	041-200
042	LANGT BORD, FJARRAN			DyenDB	042-200	A	042-201
043	FETT			DyenDB	043-006	A	043-006
044	FAR, FADER			DyenDB	044-209	A	044-210
045	VARA RADD FOR			DyenDB	045-003	A	045-003
046	FJADER			DyenDB	046-203	A	046-203
047	FA, NAGRA			DyenDB	047-002	A	047-002
048	SLASS, FAKTA			DyenDB	048-200	A	048-201
050	ELD			DyenDB	050-005	A	050-005
051	FISK			DyenDB	051-009	A	051-009
052	FEM			DyenDB	052-002	A	052-002
053	FLYTA			DyenDB	053-005	A	053-005
054	RINNA, FLYTA			DyenDB	054-200	A	054-201
055	BLOMMA			DyenDB	055-002	A	055-002
056	FLYGA			DyenDB	056-006	A	056-006
057	DIMMA, TJOCKA			DyenDB	057-207	A	057-208
058	FOT			DyenDB	058-200	A	058-200
059	FYRA			DyenDB	059-002	A	059-002
060	FRYSA			DyenDB	060-207	A	060-207
061	FRUKT			DyenDB	061-006	A	061-006
063	GE, GIVA			DyenDB	063-002	A	063-002
064	GOD			DyenDB	064-003	A	064-003
065	GRAS			DyenDB	065-007	A	065-007
066	GRON			DyenDB	066-003	A	066-003
067	TARMAR			DyenDB	067-205	A	067-205
068	HAR			DyenDB	068-004	A	068-004
069	HAND			DyenDB	069-003	A	069-003
070	HAN			DyenDB	070-203	A	070-203
071	HUVUD			DyenDB	071-200	A	071-202
072	HORA			DyenDB	072-003	A	072-003
073	HJARTA			DyenDB	073-200	A	073-200
074	TUNG			DyenDB	074-007	A	074-007
075	HAR			DyenDB	075-003	A	075-003
076	TRAFFA			DyenDB	076-200	A	076-203
077	HALLA			DyenDB	077-200	A	077-200
079	HUR			DyenDB	079-200	A	079-200
080	JAGA			DyenDB	080-007	A	080-007
081	(AKTA) MAN			DyenDB	081-206	A	081-206
082	JAG			DyenDB	082-200	A	082-200
083	IS			DyenDB	083-005	A	083-005
084	OM, I FALL (ATT)			DyenDB	084-200	A	084-202
085	I			DyenDB	085-200	A	085-200
086	SLA IHJAL			DyenDB	086-205	A	086-209
088	VETA, KANNA (TILL)			DyenDB	088-200	A	088-201
089	SJO			DyenDB	089-004	A	089-004
090	SKRATTA			DyenDB	090-008	A	090-008
091	BLAD			DyenDB	091-204	A	091-204
092	VANSTER			DyenDB	092-004	A	092-004
093	BEN			DyenDB	093-200	A	093-202
094	LIGGA			DyenDB	094-003	A	094-003
095	LEVA			DyenDB	095-002	A	095-002
096	LEVER			DyenDB	096-002	A	096-002
097	LANG			DyenDB	097-200	A	097-200
098	LUS			DyenDB	098-200	A	098-200
099	KARL, MAN			DyenDB	099-203	A	099-205
100	MANGA			DyenDB	100-200	A	100-200
101	KOTT			DyenDB	101-200	A	101-200
103	MOR, MODER			DyenDB	103-200	A	103-200
104	BERG			DyenDB	104-200	A	104-200
105	MUN			DyenDB	105-007	A	105-007
106	NAMN			DyenDB	106-003	A	106-003
107	TRANG, SMAL			DyenDB	107-218	A	107-219
108	NARA			DyenDB	108-200	A	108-200
109	HALS			DyenDB	109-204	A	109-206
110	NY			DyenDB	110-200	A	110-200
111	NATT			DyenDB	111-004	A	111-004
112	NASA			DyenDB	112-005	A	112-005
113	INTE			DyenDB	113-200	A	113-202
114	GAMMAL			DyenDB	114-004	A	114-004
115	EN			DyenDB	115-200	A	115-200
116	ANNAN, ANNAT			DyenDB	116-205	A	116-205
117	PERSON			DyenDB	117-209	A	117-218
118	LEKA			DyenDB	118-203	A	118-203
119	DRA(GA), SLITA			DyenDB	119-200	A	119-203
120	SKJUTA PA, KNUFFA TILL			DyenDB	120-200	A	120-202
121	REGNA			DyenDB	121-002	A	121-002
122	ROD			DyenDB	122-003	A	122-003
123	RATT			DyenDB	123-200	A	123-200
124	HOGER			DyenDB	124-004	A	124-004
125	ALV			DyenDB	125-006	A	125-006
126	VAG			DyenDB	126-209	A	126-209
127	ROT			DyenDB	127-003	A	127-003
128	REP			DyenDB	128-007	A	128-007
129	RUTTEN			DyenDB	129-200	A	129-200
131	GNIDA, GNUGGA			DyenDB	131-004	A	131-004
132	SALT			DyenDB	132-002	A	132-002
133	SAND			DyenDB	133-004	A	133-004
134	SAJA, SAGA			DyenDB	134-005	A	134-005
135	KLOSA, RISPA, RIVA			DyenDB	135-003	A	135-003
136	SJO			DyenDB	136-200	A	136-202
137	SI, SE			DyenDB	137-005	A	137-005
138	FRO			DyenDB	138-003	A	138-003
139	SY, SOMMA			DyenDB	139-200	A	139-201
140	VASS			DyenDB	140-209	A	140-211
141	KORT			DyenDB	141-003	A	141-003
142	SJUNGA			DyenDB	142-005	A	142-005
143	SITTA			DyenDB	143-200	A	143-200
144	SKINN			DyenDB	144-200	A	144-204
145	SKY, LUFT, HIMMEL			DyenDB	145-200	A	145-201
146	SOVA			DyenDB	146-200	A	146-200
147	LITEN			DyenDB	147-010	A	147-010
148	LUKTA, KANNA LUKT			DyenDB	148-002	A	148-002
149	ROK			DyenDB	149-002	A	149-002
150	SLAT, JAMN			DyenDB	150-205	A	150-207
151	ORM			DyenDB	151-201	A	151-201
152	SNO			DyenDB	152-004	A	152-004
153	NAGRA			DyenDB	153-200	A	153-200
154	SPOTTA			DyenDB	154-205	A	154-206
155	KLYVA			DyenDB	155-003	A	155-003
156	KLAMMA			DyenDB	156-008	A	156-008
157	STICKA (IHJAL)			DyenDB	157-003	A	157-003
158	STA			DyenDB	158-202	A	158-205
159	STJARNA			DyenDB	159-004	A	159-004
160	KAPP, STICKA			DyenDB	160-013	A	160-013
161	STEN			DyenDB	161-004	A	161-004
162	RAT			DyenDB	162-203	A	162-203
163	SUGA			DyenDB	163-202	A	163-206
164	SOL			DyenDB	164-203	A	164-203
165	SVALLA, SVULLNA			DyenDB	165-002	A	165-002
166	SIMMA			DyenDB	166-002	A	166-002
167	RUMPA, STJART			DyenDB	167-200	A	167-201
168	ATT			DyenDB		A	
169	DAR			DyenDB	169-203	A	169-203
170	DE			DyenDB	170-200	A	170-200
171	TJOCK			DyenDB	171-212	A	171-212
172	TUNN			DyenDB	172-002	A	172-002
173	TANKA			DyenDB	173-003	A	173-003
174	DEN HAR			DyenDB	174-200	A	174-201
175	DU			DyenDB	175-200	A	175-200
176	TRE			DyenDB	176-002	A	176-002
177	KASTA, SLUNGA			DyenDB	177-002	A	177-002
178	BINDA, KNYTA			DyenDB	178-203	A	178-203
179	TUNGA			DyenDB	179-200	A	179-200
180	TAND, FRAMTAND			DyenDB	180-003	A	180-003
181	TRA(D)			DyenDB	181-206	A	181-206
182	VANDA SIG OM			DyenDB	182-208	A	182-210
183	TVA			DyenDB	183-002	A	183-002
184	KRAKAS, KASTA OPP			DyenDB	184-212	A	184-214
185	GA			DyenDB	185-005	A	185-005
186	VARM			DyenDB	186-002	A	186-002
187	TVATTA			DyenDB	187-009	A	187-009
188	VATTEN			DyenDB	188-004	A	188-004
189	VI			DyenDB	189-002	A	189-002
190	VAT			DyenDB	190-005	A	190-005
191	VAD, VA			DyenDB	191-003	A	191-003
192	NAR			DyenDB	192-200	A	192-202
193	VAR			DyenDB	193-200	A	193-200
194	VIT			DyenDB	194-205	A	194-205
195	VEM, HOCKEN			DyenDB	195-200	A	195-200
196	VID, BRED			DyenDB	196-200	A	196-201
197	HUSTRU, GUMMA			DyenDB	197-005	A	197-005
198	VIND			DyenDB	198-200	A	198-202
199	VINGE			DyenDB	199-002	A	199-002
200	TORKA (AV)			DyenDB	200-008	A	200-008
201	MED			DyenDB	201-205	A	201-205
202	KVINNA			DyenDB	202-204	A	202-204
203	SKOGAR			DyenDB	203-002	A	203-002
204	MASK			DyenDB	204-203	A	204-203
205	NI			DyenDB		A	
206	AR			DyenDB	206-004	A	206-004
207	GUL			DyenDB	207-200	A	207-200
