ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	AL  AL			DyenDB	001-004	A	001-004
002	A			DyenDB		A	
003	JUR			DyenDB	003-005	A	003-005
004	ASKA			DyenDB	004-007	A	004-007
005	DEVE, OT  OT			DyenDB	005-200	A	005-202
006	ROG, (BAK)			DyenDB	006-209	A	006-209
007	DALI			DyenDB	007-002	A	007-002
008	BARK			DyenDB	008-200	A	008-200
010	MAGA  MAGA			DyenDB	010-204	A	010-206
011	STOR			DyenDB	011-200	A	011-202
012	FOGAL			DyenDB	012-206	A	012-206
013	BIT			DyenDB	013-002	A	013-002
014	SVART			DyenDB	014-003	A	014-003
015	BLO			DyenDB	015-004	A	015-004
016	BLAS			DyenDB	016-203	A	016-205
017	BEN			DyenDB	017-006	A	017-006
019	AN			DyenDB	019-200	A	019-200
020	BRIN			DyenDB	020-003	A	020-003
021	BAN			DyenDB	021-002	A	021-002
022	MARN  MARN			DyenDB	022-202	A	022-204
023	KAL			DyenDB	023-002	A	023-002
024	KOMA  KOMA			DyenDB	024-206	A	024-206
025	RAKAN			DyenDB	025-200	A	025-202
026	SARA			DyenDB	026-200	A	026-202
027	DAG			DyenDB	027-004	A	027-004
028	DO			DyenDB	028-200	A	028-200
029	GRAVA  GRAVA			DyenDB	029-203	A	029-205
030	DYNGI			DyenDB		A	
031	HUN			DyenDB	031-003	A	031-003
032	DREK			DyenDB	032-003	A	032-003
033	TOR			DyenDB	033-005	A	033-005
034	SLOG  SLOG			DyenDB	034-200	A	034-200
035	DAM			DyenDB	035-008	A	035-008
036	ORA			DyenDB	036-200	A	036-200
037	JOL			DyenDB	037-004	A	037-004
038	ATA  ETA			DyenDB	038-006	A	038-006
039	AG			DyenDB	039-007	A	039-007
040	YGA  OGA			DyenDB	040-002	A	040-002
041	FAL			DyenDB	041-200	A	041-200
042	LANGT			DyenDB	042-200	A	042-202
043	FET			DyenDB	043-006	A	043-006
044	FAR			DyenDB	044-209	A	044-210
045	FRUKT			DyenDB	045-004	A	045-004
046	FJAR  FJER			DyenDB	046-203	A	046-203
047	FA			DyenDB	047-002	A	047-002
048	SLAS  SLOS			DyenDB	048-200	A	048-200
050	AL			DyenDB	050-005	A	050-005
051	FISK			DyenDB	051-009	A	051-009
052	FAM			DyenDB	052-002	A	052-002
053	FLYT			DyenDB	053-005	A	053-005
054	RIN, FLYT			DyenDB	054-200	A	054-201
055	BLOMA			DyenDB	055-002	A	055-002
056	FLYG			DyenDB	056-006	A	056-006
057	DIMA			DyenDB	057-207	A	057-207
058	FOT			DyenDB	058-200	A	058-200
059	FYRA			DyenDB	059-002	A	059-002
060	FRYS			DyenDB	060-207	A	060-207
061	FRUKT			DyenDB	061-006	A	061-006
063	JE			DyenDB	063-002	A	063-002
064	GO			DyenDB	064-003	A	064-003
065	GRAS  GRAS			DyenDB	065-007	A	065-007
066	GRON			DyenDB	066-003	A	066-003
067	TORMA			DyenDB	067-205	A	067-205
068	HAR			DyenDB	068-004	A	068-004
069	HAN			DyenDB	069-003	A	069-003
070	HAN			DyenDB	070-203	A	070-203
071	HUVA			DyenDB	071-200	A	071-202
072	HOR			DyenDB	072-003	A	072-003
073	JATA			DyenDB	073-200	A	073-200
074	TONG			DyenDB	074-007	A	074-007
075	HAR, HENA  HENAN			DyenDB	075-003	A	075-003
076	SLA  SLA			DyenDB	076-200	A	076-200
077	HAL  HOL			DyenDB	077-200	A	077-200
079	HORA			DyenDB	079-200	A	079-200
080	JAGA  JAGA			DyenDB	080-007	A	080-007
081	GOBA			DyenDB		A	
082	JAG, JA  JAG, JA			DyenDB	082-200	A	082-200
083	IS			DyenDB	083-005	A	083-005
084	OM  OM			DyenDB	084-200	A	084-202
085	INI, I			DyenDB	085-200	A	085-200
086	DRAPA			DyenDB	086-205	A	086-205
088	VETA			DyenDB	088-200	A	088-200
089	SO			DyenDB	089-004	A	089-004
090	SKRAT			DyenDB	090-008	A	090-008
091	BLA, LOVBLA			DyenDB	091-204	A	091-205
092	VINSTAR  VANSTAR			DyenDB	092-004	A	092-004
093	BEN			DyenDB	093-200	A	093-202
094	LIGA			DyenDB	094-003	A	094-003
095	LEVA			DyenDB	095-002	A	095-002
096	LEVAR			DyenDB	096-002	A	096-002
097	LONG			DyenDB	097-200	A	097-200
098	LUS			DyenDB	098-200	A	098-200
099	KAR, MAN			DyenDB	099-203	A	099-205
100	MANG  MONG			DyenDB	100-200	A	100-200
101	TZOT			DyenDB	101-200	A	101-200
103	MOR			DyenDB	103-200	A	103-200
104	FJEL  FJAL, BARJ			DyenDB	104-200	A	104-201
105	MON			DyenDB	105-007	A	105-007
106	NAMN			DyenDB	106-003	A	106-003
107	TRANG  TRONG, SMAL  SMAL			DyenDB	107-218	A	107-219
108	NAR			DyenDB	108-200	A	108-200
109	HAS  HALS			DyenDB	109-204	A	109-206
110	NY			DyenDB	110-200	A	110-200
111	NAT			DyenDB	111-004	A	111-004
112	NASA			DyenDB	112-005	A	112-005
113	INTA, INT, IT			DyenDB	113-200	A	113-202
114	GAMAL			DyenDB	114-004	A	114-004
115	EN			DyenDB	115-200	A	115-200
116	AN, ANA			DyenDB	116-205	A	116-205
117	PASON, MANIS			DyenDB	117-209	A	117-217
118	LEK, SPELA			DyenDB	118-203	A	118-204
119	DRA, SLIT			DyenDB	119-200	A	119-203
120	STYR, FLOJ			DyenDB	120-200	A	120-200
121	RANGN			DyenDB	121-002	A	121-002
122	RO			DyenDB	122-003	A	122-003
123	RAT			DyenDB	123-200	A	123-200
124	HOGAR			DyenDB	124-004	A	124-004
125	A			DyenDB	125-007	A	125-007
126	VAG			DyenDB	126-209	A	126-209
127	ROT			DyenDB	127-003	A	127-003
128	REP			DyenDB	128-007	A	128-007
129	ROTAN			DyenDB	129-200	A	129-200
131	GNI, GNOG			DyenDB	131-004	A	131-004
132	SALT			DyenDB	132-002	A	132-002
133	SAN			DyenDB	133-004	A	133-004
134	SAGA			DyenDB	134-005	A	134-005
135	KLA			DyenDB	135-003	A	135-003
136	HAV			DyenDB	136-200	A	136-200
137	SI			DyenDB	137-005	A	137-005
138	FRO			DyenDB	138-003	A	138-003
139	SY, SOM			DyenDB	139-200	A	139-201
140	VAS			DyenDB	140-209	A	140-211
141	KOT			DyenDB	141-003	A	141-003
142	SONG			DyenDB	142-005	A	142-005
143	SITA			DyenDB	143-200	A	143-200
144	SIN			DyenDB	144-200	A	144-204
145	SY, HIMAL			DyenDB	145-200	A	145-201
146	SAVA  SAVA			DyenDB	146-200	A	146-200
147	LITN			DyenDB	147-010	A	147-010
148	LUKT, TZAN LUKTA			DyenDB	148-002	A	148-002
149	ROK			DyenDB	149-002	A	149-002
150	SLAT  SLET, JAMN			DyenDB	150-205	A	150-207
151	ORM			DyenDB	151-201	A	151-201
152	SNO			DyenDB	152-004	A	152-004
153	NAGRA, NA ENAR			DyenDB	153-200	A	153-201
154	SPOT			DyenDB	154-205	A	154-206
155	KLYV			DyenDB	155-003	A	155-003
156	KLAM			DyenDB	156-008	A	156-008
157	STAMP			DyenDB		A	
158	STA			DyenDB	158-202	A	158-205
159	SANA			DyenDB	159-004	A	159-004
160	STIKA, TZVET,TZAP			DyenDB	160-013	A	160-013
161	STEN			DyenDB	161-004	A	161-004
162	RAT			DyenDB	162-203	A	162-203
163	SUG			DyenDB	163-202	A	163-206
164	SOL			DyenDB	164-203	A	164-203
165	SVAL			DyenDB	165-002	A	165-002
166	SAM  SEM			DyenDB	166-002	A	166-002
167	ROMPA			DyenDB	167-200	A	167-200
168	A DANA			DyenDB	168-200	A	168-200
169	DAR, DENA  DENAN			DyenDB	169-203	A	169-203
170	DAM			DyenDB	170-200	A	170-200
171	TZAK  TZOK			DyenDB	171-212	A	171-212
172	TON			DyenDB	172-002	A	172-002
173	TANGK			DyenDB	173-003	A	173-003
174	A HANA			DyenDB	174-200	A	174-200
175	DU			DyenDB	175-200	A	175-200
176	TRI			DyenDB	176-002	A	176-002
177	KAST, SMOR			DyenDB	177-002	A	177-002
178	BIN, KNYT			DyenDB	178-203	A	178-203
179	TONGA			DyenDB	179-200	A	179-200
180	TAN, FRAMTAN			DyenDB	180-003	A	180-003
181	TRE  TRA			DyenDB	181-206	A	181-206
182	SNO, VAN			DyenDB	182-208	A	182-209
183	TZVA			DyenDB	183-002	A	183-002
184	SPY, KRAKAS			DyenDB	184-212	A	184-213
185	GA			DyenDB	185-005	A	185-005
186	VARM			DyenDB	186-002	A	186-002
187	TZVAT			DyenDB	187-009	A	187-009
188	VATN			DyenDB	188-004	A	188-004
189	VI			DyenDB	189-002	A	189-002
190	BLOT, VOT  VAT			DyenDB	190-005	A	190-005
191	VA, VA			DyenDB	191-003	A	191-003
192	NAR			DyenDB	192-200	A	192-202
193	VAS			DyenDB	193-200	A	193-200
194	VIT			DyenDB	194-205	A	194-205
195	VAM, HOKAN			DyenDB	195-200	A	195-200
196	VI, BRE			DyenDB	196-200	A	196-201
197	TZARING			DyenDB		A	
198	BLASVER  BLASVAR, BLAST			DyenDB	198-200	A	198-200
199	VINGA			DyenDB	199-002	A	199-002
200	TORK			DyenDB	200-008	A	200-008
201	VA			DyenDB	201-210	A	201-210
202	KVINA, KVINFOLK  KVINFALK			DyenDB	202-204	A	202-204
203	SKOGA			DyenDB	203-002	A	203-002
204	MARK  MASK			DyenDB	204-203	A	204-203
205	JI			DyenDB	205-200	A	205-200
206	AR			DyenDB	206-004	A	206-004
207	GUL			DyenDB	207-200	A	207-200
