ID	source_form	phon_form	notes	source	cognate_class	reliability
1	XAMA, TAMOM			DyenDB	200	A
2	VA			DyenDB	5	A
3	XAJVON, CONDOR			DyenDB	6	A
4	XOKISTAR			DyenDB	4	A
5	DAR, BA			DyenDB	219	B
6	PUST, TAXTAPUST			DyenDB	6	A
7	BAD, GANDA			DyenDB	200	A
8	PUST, TAXTAPUST			DyenDB	210	A
9	BAROI..., BAROI XAMIN, BINOBAR IN, AZ IN SABAB			DyenDB	100	A
10	SIKAM, SIKAMBA			DyenDB	8	A
11	KALON, BUZURG			DyenDB	4	A
12	PARRANDA			DyenDB	5	A
14	SIEX			DyenDB	7	A
15	XUN			DyenDB	11	A
17	USTUXON			DyenDB	200	A
21	BACA, KUDAK, FARZAND			DyenDB	200	A
22	ABR			DyenDB	207	A
23	XUNUK, SARD			DyenDB	5	A
27	RUZ			DyenDB	200	A
30	CIRKIN, IFLOS			DyenDB		A
31	SAG			DyenDB	2	A
33	XUSK, KOK			DyenDB	205	A
34	KYND			DyenDB	7	A
35	CAND, GARD			DyenDB	10	A
36	GUS			DyenDB	2	A
37	ZAMIN			DyenDB	200	A
39	TUXM			DyenDB	3	A
40	CASM, DIDA			DyenDB	3	A
42	DUR			DyenDB	7	A
43	RAVWAN			DyenDB		A
44	PADAR			DyenDB	200	A
46	PAR			DyenDB	200	A
47	KAM, NOKIFOJA			DyenDB	204	A
50	OTAS, ALOV			DyenDB	200	A
51	MOXI			DyenDB	2	A
52	PANC			DyenDB	2	A
55	GUL, SUKUFA			DyenDB	3	A
57	TUMAN, WAFS			DyenDB		A
58	PO, POJ			DyenDB	200	A
59	COR			DyenDB	2	A
61	MEVA			DyenDB	4	A
64	XUB, HAWZ			DyenDB	205	A
65	ALAF			DyenDB	4	A
66	SABZ, KABUD			DyenDB	2	A
67	RUDA, SLANG			DyenDB	7	A
68	MUJ			DyenDB	3	A
69	DAST			DyenDB	200	A
70	VAJ, U			DyenDB	213	A
71	SAR, KALLA			DyenDB	205	A
73	DIL			DyenDB	7	A
74	VAZNIN, SANGI VAZNIN			DyenDB	207	A
75	DAR NI CO, NI CO			DyenDB		A
77	DAST GIRIFTAN			DyenDB	200	A
79	CI TAVR, CI XEL			DyenDB	200	B
