ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	ALA			DyenDB	001-004	A	001-004
002	NANGA, EN			DyenDB	002-009	A	002-009
004	ASESI			DyenDB	004-007	A	004-007
005	NA, NA SEI VO			DyenDB	005-200	A	005-207
006	BAKA			DyenDB	006-209	A	006-211
007	OGRI, SLEKTI			DyenDB	007-007	A	007-007
008	BOEBA			DyenDB		A	
009	BIKASI, BIKA			DyenDB	009-011	A	009-011
010	BELE			DyenDB	010-204	A	010-204
011	BIGI, LANGA, GROFOE, GRAN, GRANDI			DyenDB	011-011	A	011-011
012	FOUWLOE			DyenDB	012-206	A	012-206
013	BETI, NJAM			DyenDB	013-002	A	013-002
014	BLAKA			DyenDB	014-012	A	014-012
015	BROEDOE			DyenDB	015-004	A	015-004
016	BLO			DyenDB	016-203	A	016-205
017	BOON			DyenDB	017-006	A	017-006
019	BRO			DyenDB		A	
020	BRON			DyenDB	020-003	A	020-003
021	PIKIEN			DyenDB		A	
022	BLAKA VO TAPOE, WOLKOE			DyenDB		A	
023	KOUROE			DyenDB	023-002	A	023-002
024	KOM			DyenDB	024-206	A	024-206
025	TELI			DyenDB	025-200	A	025-200
026	KOTI			DyenDB	026-200	A	026-200
027	DEI			DyenDB	027-004	A	027-004
028	DEDE			DyenDB	028-200	A	028-200
029	DIKI			DyenDB	029-004	A	029-004
030	DOTI, MORSOE, MOTOMOTO			DyenDB	030-011	A	030-011
031	DAGOE			DyenDB	031-006	A	031-006
032	DRINGI			DyenDB	032-003	A	032-003
033	DRE			DyenDB	033-004	A	033-004
034	DEDE, STOMPOE, TOMPOE			DyenDB	034-005	A	034-005
035	STOF			DyenDB	035-203	A	035-203
036	JESI			DyenDB	036-200	A	036-200
037	GRON			DyenDB		A	
038	NJANJAM			DyenDB		A	
039	EKSI			DyenDB	039-007	A	039-007
040	HAI			DyenDB	040-002	A	040-002
041	FADOM			DyenDB	041-200	A	041-200
042	FARAWEI, FARA			DyenDB	042-200	A	042-200
043	FATOE			DyenDB	043-006	A	043-006
044	TATA, POCPA			DyenDB	044-400	C	044-400
045	FREDE			DyenDB	045-011	A	045-011
046	WIURRI, FOUWLOE-WIURRI			DyenDB		A	
047	WEINIKI, PIKIN, NO FOELOE			DyenDB	047-207	A	047-207
048	FETI			DyenDB	048-200	A	048-202
050	FAJA			DyenDB	050-003	A	050-003
051	FISI			DyenDB	051-009	A	051-009
052	FEIFI			DyenDB	052-002	A	052-002
053	SWEM			DyenDB		A	
054	RON			DyenDB	054-200	A	054-202
055	BLOMIKI, BLOMETJE			DyenDB	055-002	A	055-002
056	FLEI			DyenDB	056-006	A	056-006
057	SMOKO, SMOKO VO GRON, DAMPOE			DyenDB		A	
058	FOETOE			DyenDB	058-200	A	058-200
059	FO			DyenDB	059-002	A	059-002
061	NJANJAM, VROEKTOE			DyenDB	061-006	A	061-006
063	GI			DyenDB	063-002	A	063-002
064	BOEN			DyenDB		A	
065	GRASI			DyenDB	065-007	A	065-007
066	GROEN			DyenDB	066-003	A	066-003
067	BELE, TRIPA			DyenDB		A	
068	WIWIRI			DyenDB		A	
069	HAN, HANOE			DyenDB	069-003	A	069-003
070	A, HEM			DyenDB	070-203	A	070-204
071	HEDE			DyenDB	071-200	A	071-202
072	JERI			DyenDB	072-003	A	072-003
073	HATTI			DyenDB	073-200	A	073-200
074	HEBI			DyenDB	074-006	A	074-006
075	DIA, DIASO			DyenDB		A	
076	NAKI			DyenDB		A	
077	HOLI			DyenDB	077-200	A	077-200
080	HONTI			DyenDB	080-010	A	080-010
081	MAN			DyenDB	081-206	A	081-206
082	MI			DyenDB	082-200	A	082-200
083	YSI			DyenDB	083-005	A	083-005
084	EFI			DyenDB	084-007	A	084-007
085	NA IM			DyenDB	085-200	A	085-200
086	KILI			DyenDB	086-011	A	086-011
088	SABI			DyenDB		A	
089	ZEE			DyenDB	089-004	A	089-004
090	LAFOE			DyenDB	090-200	A	090-200
091	WIWIRI			DyenDB		A	
092	KROEKOETOE			DyenDB		A	
093	FOETOE			DyenDB		A	
094	LIDOM			DyenDB	094-003	A	094-003
095	LIEBI			DyenDB	095-002	A	095-002
096	LEVER			DyenDB	096-002	A	096-002
097	LANGA			DyenDB	097-200	A	097-200
098	LOSO			DyenDB	098-200	A	098-200
099	SOEMA			DyenDB		A	
100	FOELOE			DyenDB		A	
101	METI			DyenDB	101-202	A	101-202
103	MAMA			DyenDB	103-200	A	103-208
104	BERGI			DyenDB	104-200	A	104-200
105	MOFO			DyenDB	105-007	A	105-007
106	NEM			DyenDB	106-003	A	106-003
107	SMALA, PIKIN			DyenDB	107-218	A	107-218
108	KLOSIBEI			DyenDB		A	
109	NEKI			DyenDB	109-204	A	109-204
110	NJOE			DyenDB	110-200	A	110-200
111	NETI			DyenDB	111-004	A	111-004
112	NOSO			DyenDB	112-005	A	112-005
113	NO			DyenDB	113-005	A	113-005
114	OUROE			DyenDB	114-006	A	114-006
115	WAN			DyenDB	115-200	A	115-200
116	TRA			DyenDB		A	
117	SOEMA			DyenDB		A	
118	PRE			DyenDB	118-006	A	118-006
119	HALI			DyenDB		A	
121	AREEN			DyenDB	121-002	A	121-002
122	REDI			DyenDB	122-003	A	122-003
123	RETI			DyenDB	123-200	A	123-200
124	RETI			DyenDB	124-200	A	124-200
125	RIBA, LIBA			DyenDB	125-005	A	125-005
126	PASI			DyenDB	126-016	A	126-016
127	LOETOE			DyenDB	127-003	A	127-003
128	TETEI			DyenDB		A	
129	PORI			DyenDB		A	
131	ROBI LOBI			DyenDB	131-203	A	131-203
132	ZOUTOE			DyenDB	132-002	A	132-002
133	SANTI			DyenDB	133-004	A	133-004
134	TAKI			DyenDB		A	
135	KRASI, KRABOE			DyenDB	135-006	A	135-006
136	ZOUT-WATRA, ZEE			DyenDB	136-200	A	136-202
137	SI			DyenDB	137-005	A	137-005
138	SIRI			DyenDB	138-200	A	138-200
139	NAI			DyenDB	139-004	A	139-004
140	SRAPOE			DyenDB	140-004	A	140-004
141	SJATOE			DyenDB	141-012	A	141-012
142	SINGI			DyenDB	142-005	A	142-005
143	SIDOM			DyenDB	143-200	A	143-200
144	BOEBA			DyenDB		A	
145	TAPO			DyenDB		A	
146	SLIBI			DyenDB	146-005	A	146-005
147	PIKIN			DyenDB		A	
148	SMERI			DyenDB	148-005	A	148-005
149	SMOKO			DyenDB	149-003	A	149-003
150	GLATI			DyenDB	150-205	A	150-209
151	SNEKI			DyenDB	151-005	A	151-005
152	SNEEUW			DyenDB	152-004	A	152-004
153	SOM			DyenDB	153-200	A	153-203
154	SPITI			DyenDB	154-205	A	154-206
155	PLITI			DyenDB	155-002	A	155-002
157	SOETOE			DyenDB		A	
158	TANAPOE, TANAPO			DyenDB	158-202	A	158-205
159	STAR, STARI			DyenDB	159-004	A	159-004
160	TIKI			DyenDB	160-013	A	160-013
161	STOON, STON			DyenDB	161-004	A	161-004
163	ZUIGI			DyenDB	163-202	A	163-206
164	ZON			DyenDB	164-203	A	164-203
166	SWEM			DyenDB	166-002	A	166-002
167	TERE			DyenDB	167-011	A	167-011
168	DATI			DyenDB	168-200	A	168-200
169	JANDA, JANDASO			DyenDB		A	
170	DEM			DyenDB	170-200	A	170-200
171	DEKI, TEKI			DyenDB	171-212	A	171-212
172	FINI			DyenDB	172-002	A	172-002
173	DENKI			DyenDB	173-003	A	173-003
174	DISI, DI			DyenDB	174-200	A	174-206
175	JOE			DyenDB	175-002	A	175-002
176	DRI			DyenDB	176-002	A	176-002
177	FRINGI			DyenDB		A	
178	TAI			DyenDB	178-007	A	178-007
179	TONGO			DyenDB	179-200	A	179-200
180	TIFI			DyenDB	180-003	A	180-003
181	BOOM			DyenDB	181-004	A	181-004
182	DRAI			DyenDB	182-003	A	182-003
183	TOE			DyenDB	183-002	A	183-002
184	PIO, OFER			DyenDB		A	
185	WAKA			DyenDB	185-009	A	185-009
186	WARAM			DyenDB	186-002	A	186-002
187	WASI			DyenDB	187-006	A	187-006
188	WATRA			DyenDB	188-004	A	188-004
189	WI			DyenDB	189-002	A	189-002
190	NATI			DyenDB	190-004	A	190-004
191	HOESAN, SANI			DyenDB		A	
192	HOETEM			DyenDB		A	
193	PEE			DyenDB		A	
194	WETI			DyenDB	194-205	A	194-205
195	HOESOEMA			DyenDB	195-200	A	195-200
196	BRADI			DyenDB	196-200	A	196-202
197	WEFI			DyenDB	197-002	A	197-002
198	WINTI			DyenDB	198-200	A	198-202
199	FLEI			DyenDB		A	
200	FIGI			DyenDB		A	
201	NANGA			DyenDB		A	
202	OEMAN			DyenDB	202-003	A	202-003
203	BOESI			DyenDB	203-209	A	203-209
204	WOROM, WORM			DyenDB	204-203	A	204-205
