ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	VES			DyenDB	001-002	A	001-002
002	I			DyenDB	002-200	A	002-200
003	ZVIR			DyenDB	003-200	A	003-200
004	POPIL			DyenDB	004-003	A	004-003
005	U			DyenDB	005-200	A	005-211
006	SPYNA			DyenDB	006-005	A	006-005
007	ZLYJ			DyenDB	007-207	A	007-207
008	KORA			DyenDB	008-202	A	008-204
009	TOMU STO			DyenDB	009-012	A	009-012
010	CEREVO			DyenDB		A	
011	VELIKYJ			DyenDB	011-006	A	011-006
012	PTACH			DyenDB	012-207	A	012-207
013	KUSATY			DyenDB	013-011	A	013-011
014	CORNYJ			DyenDB	014-004	A	014-004
015	KROU			DyenDB	015-005	A	015-005
016	DUTY			DyenDB	016-203	A	016-207
017	KISTKA			DyenDB	017-201	A	017-201
019	DYCHATY			DyenDB	019-002	A	019-002
020	PALATY			DyenDB	020-200	A	020-202
021	DYTYNA			DyenDB	021-004	A	021-004
022	CHMARA			DyenDB	022-200	A	022-200
023	CHOLODNYJ			DyenDB	023-200	A	023-202
024	PRYCHODYTY			DyenDB	024-203	A	024-205
025	RACHUVATY			DyenDB		A	
026	RIZATY			DyenDB	026-207	A	026-207
027	DEN			DyenDB	027-003	A	027-003
028	MERTY			DyenDB	028-003	A	028-003
029	KOPATY			DyenDB	029-203	A	029-203
030	SKVERNYJ			DyenDB		A	
031	PES			DyenDB	031-200	A	031-200
032	PYTY			DyenDB	032-004	A	032-004
033	SUCHYJ			DyenDB	033-205	A	033-205
034	TUPYJ			DyenDB	034-002	A	034-002
035	POROCH			DyenDB	035-200	A	035-202
036	VUCHO			DyenDB	036-200	A	036-200
037	ZEML A			DyenDB	037-200	A	037-200
038	JISTY			DyenDB	038-006	A	038-006
039	JAJCE			DyenDB	039-007	A	039-007
040	OKO			DyenDB	040-002	A	040-002
041	UPASTY			DyenDB	041-207	A	041-207
042	DALEKYJ			DyenDB	042-205	A	042-205
043	ZYR			DyenDB	043-203	A	043-203
044	OTEC			DyenDB	044-200	A	044-200
045	BOJATYS A			DyenDB	045-200	A	045-204
046	PERO			DyenDB	046-200	A	046-200
048	BOROTYS A			DyenDB	048-008	A	048-008
050	VOHON			DyenDB	050-004	A	050-004
051	RYBA			DyenDB	051-003	A	051-003
052	P AT			DyenDB	052-002	A	052-002
054	TEKTY			DyenDB	054-004	A	054-004
055	KUITKA			DyenDB	055-200	A	055-200
056	LETITY			DyenDB	056-202	A	056-204
057	TUMAN			DyenDB	057-200	A	057-204
058	NOHA			DyenDB	058-003	A	058-003
059	COTYRY			DyenDB	059-002	A	059-002
060	MOROZYTY			DyenDB	060-005	A	060-005
063	DATY			DyenDB	063-200	A	063-200
064	DOBRYJ			DyenDB	064-004	A	064-004
065	TRAVA			DyenDB	065-006	A	065-006
066	ZELENYJ			DyenDB	066-200	A	066-200
067	KYSKA			DyenDB	067-002	A	067-002
068	VOLOS			DyenDB	068-203	A	068-203
069	RUKA			DyenDB	069-005	A	069-005
070	VIN			DyenDB	070-200	A	070-200
071	HOLOVA			DyenDB	071-002	A	071-002
072	SLUCHATY			DyenDB	072-205	A	072-205
073	SERCE			DyenDB	073-200	A	073-200
074	T AZKYJ			DyenDB	074-007	A	074-007
075	TUT			DyenDB	075-211	A	075-211
076	UDARYTY			DyenDB	076-205	A	076-205
077	DERZATY			DyenDB	077-010	A	077-010
079	JAK			DyenDB	079-201	A	079-201
080	POL UVATY			DyenDB	080-005	A	080-005
081	MUZ			DyenDB	081-206	A	081-206
082	JA			DyenDB	082-200	A	082-200
083	LID			DyenDB	083-204	A	083-204
