ID	source_form	phon_form	notes	source	cognate_class	reliability
1	UVES'			DyenDB	2	A
2	I, J, TA			DyenDB	200	A
3	TVARYNA			DyenDB		A
4	POPIL			DyenDB	3	A
5	V, BILJA, NA, PRY			DyenDB	200	A
6	SPYNA,(NAZAG, OMYNATY)			DyenDB	5	A
7	POGANYJ, LYXYJ			DyenDB		A
8	XYNA			DyenDB		A
9	CEREZ TE, TOMU SCO			DyenDB	12	A
10	SLUNOK, ZYVIT			DyenDB	209	A
11	VELYKYJ, SLJAXETNYJ			DyenDB	6	A
12	PTAX			DyenDB	206	A
14	CORNYJ, TEMNYJ			DyenDB	4	A
15	KROV, SIMJA			DyenDB	5	A
17	KIST'			DyenDB	200	A
21	DYTYNA, DYTJA			DyenDB	4	A
22	XMARA			DyenDB	200	A
23	ZYMNO, XOLODNO			DyenDB	200	A
27	DEN'			DyenDB	3	A
30	BRUDNYJ, POGANYJ, PASKUDNYJ			DyenDB	2	A
31	SOBAKA, PES			DyenDB	200	A
33	SUXYJ, - A - E			DyenDB	205	A
34	TUPYJ			DyenDB	2	A
35	POROX, NYL			DyenDB	200	A
36	VUXO, SLUX, KOLOS			DyenDB	200	A
37	ZEMLJA, GRUNT			DyenDB	200	A
39	JAJCE			DyenDB	7	A
40	OKO, VUSKO			DyenDB	2	A
42	DALEKO			DyenDB	205	A
43	TOVSC, SALO			DyenDB	204	A
44	BAT'KO			DyenDB	2	A
46	LJAK, STRAX, PERO			DyenDB	200	A
47	KIL'KA			DyenDB	100	A
50	VOGON'			DyenDB	4	A
51	RYBA			DyenDB	3	A
52	P'JAT'			DyenDB	2	A
55	KVITKA, CICKA			DyenDB	200	A
57	MRJAKA, TUMAN			DyenDB	200	A
58	NOGA, OSNOVA			DyenDB	3	A
59	COTYRY			DyenDB	2	A
61	OVOC, PLID			DyenDB	200	A
64	DOBRYJ, HARNIJ			DyenDB	4	A
65	TRAVA, MURAVA			DyenDB	6	A
66	ZELENYJ, NEDOSPILYJ			DyenDB	200	A
67	KISKI			DyenDB	2	A
68	VOLOSSJA, VOLOS			DyenDB	203	A
69	RUKA			DyenDB	5	A
70	VIN			DyenDB	200	A
71	GOLOVA			DyenDB	2	A
73	SERCE			DyenDB	200	A
74	TJAZKYJ			DyenDB	7	A
75	TUT, OS'TUT			DyenDB	211	A
77	TRYMATY			DyenDB	5	A
79	JAK, JAKYM ROBOM			DyenDB	200	B
81	MUZ, COLOVIK			DyenDB	206	A
82	JA			DyenDB	200	A
83	LID			DyenDB	204	A
84	JAKSCO, KOLY, JAK, JAKBY			DyenDB	203	A
85	V, NA, U			DyenDB	200	A
88	ZNATY			DyenDB	200	A
89	OZERO			DyenDB	2	A
91	LYST, ARKUS			DyenDB	2	A
92	LIVYJ, -A - E			DyenDB	9	A
93	NOGA, NIZKA			DyenDB	3	A
96	PECINKA			DyenDB	5	A
97	DOVGYJ, - A - E			DyenDB	200	A
98	VOSA, VOS			DyenDB	200	A
99	LJUDYNA			DyenDB	203	A
100	BAHATO			DyenDB	10	A
101	M'JASO, M'JASYVO			DyenDB	7	A
103	MATY, NEN'KA			DyenDB	200	A
104	HORA			DyenDB	203	A
105	ROT			DyenDB	2	A
106	IM'JA			DyenDB	3	A
107	VUZ'KYJ			DyenDB	200	A
108	BILJA, KOLO, BLYZ'KO			DyenDB	2	A
109	SYJA			DyenDB	200	A
110	NOVYJ - A - E			DyenDB	200	A
111	NIC			DyenDB	4	A
112	NIS			DyenDB	5	A
113	NE			DyenDB	5	A
114	STARYJ			DyenDB	2	A
115	ODYN			DyenDB	200	A
116	INSYJ			DyenDB	200	B
117	OSOBA			DyenDB	2	A
122	CERVONYJ, BAHRJANYJ			DyenDB	5	A
123	PRJAMYJ, SPRAVEDLYVYJ			DyenDB	2	A
124	PRAVORUC, PRAVYJ			DyenDB	3	A
125	RICKA, RIKA			DyenDB	3	A
126	DOROHA, SLJAX			DyenDB	203	A
127	KORIN', KORINNJA			DyenDB	4	A
128	LYNVA, SNUR, MOTUZ			DyenDB	201	A
129	HNYLYJ, ZIPSOVANYJ			DyenDB	4	A
131	TERTJA, NATYRANNJA			DyenDB	3	A
132	SIL'			DyenDB	2	A
133	PISOK			DyenDB	2	A
135	DRJAPADY, DRAPATY			DyenDB	7	A
136	MORE			DyenDB	200	A
138	NASINNJA, ZERNO			DyenDB	200	A
140	HOCTRYJ			DyenDB	200	A
141	KOROTKYJ			DyenDB	12	A
144	SKURA, SKIRA			DyenDB	206	A
145	NEBO			DyenDB	2	A
147	MALYJ, MALEN'KYJ, NEVELYKYJ			DyenDB	11	A
149	DYM			DyenDB	200	A
150	HLADKYJ, RIVNYJ			DyenDB	205	A
151	HADJUKA, HADYNA			DyenDB	2	A
152	SNIH			DyenDB	4	A
153	JAKYJS', AS', ES', XTOS', TROXY			DyenDB	204	A
159	ZIRKA, ZORA			DyenDB	2	A
160	KYJOK, NALYCKA			DyenDB	4	A
161	KAMIN'			DyenDB	6	A
162	PRJAMYJ			DyenDB	5	A
164	SONCE			DyenDB	203	A
167	XVIST			DyenDB	7	A
168	TOJ, TA, TE			DyenDB	200	A
169	TAM, TUDY, OS', TUT			DyenDB	203	A
170	VONY			DyenDB	200	A
171	HRUBYJ			DyenDB	206	A
172	TONKYJ, XUDYJ			DyenDB	2	A
174	CEJ, CJA, CE			DyenDB	200	A
175	TY			DyenDB	200	A
176	TRY			DyenDB	2	A
