ID	source_form	phon_form	notes	source	cognate_class	reliability
1	TUTI			DyenDB	001-003	A
2	SE			DyenDB	002-001	A
4	CENUSE			DyenDB	004-002	A
5	A			DyenDB	005-200	A
6	PELTAYA			DyenDB	006-000	A
7	SLAB			DyenDB	007-006	A
8	FLUDHE			DyenDB	008-001	A
9	KA			DyenDB	009-001	A
10	PENDIKE			DyenDB	010-201	A
11	MARE			DyenDB	011-010	A
12	PULU			DyenDB	012-207	A
14	LAI			DyenDB	014-001	A
15	SYNZE			DyenDB	015-003	A
17	OS			DyenDB	017-200	A
21	FICOR, FEATA (FEM.)			DyenDB	020-001	A
22	NIORI			DyenDB	021-008	A
23	ARKWARE			DyenDB	022-001	A
27	ZUE			DyenDB	026-003	A
30	(NE)LATE  ("UNWASHED")			DyenDB	029-001	A
31	KYNE			DyenDB	030-003	A
33	USKATE			DyenDB	032-202	A
35	KURNAXTO			DyenDB	034-001	A
36	UREAKLI			DyenDB	035-200	A
37	CARE			DyenDB	036-205	A
39	OU			DyenDB	038-007	A
40	OKLI			DyenDB	039-002	A
42	DEPARTE			DyenDB	041-003	A
43	SEU, GRASEAME			DyenDB	042-009	A
44	TATE, NENI, AFENT, BABA			DyenDB	043-208	A
46	PEANE			DyenDB	045-203	A
50	FOKU			DyenDB	048-002	A
51	PEASTE			DyenDB	049-009	A
52	CINJE			DyenDB	050-002	A
55	LILICE			DyenDB	053-001	A
57	NEGURE			DyenDB	055-200	A
58	CORU			DyenDB	056-200	A
59	PATRU			DyenDB	057-002	A
61	POMU			DyenDB	059-001	A
64	BUNE			DyenDB	061-002	A
65	YERBE			DyenDB	062-002	A
66	VEARDE			DyenDB	063-008	A
67	MACE			DyenDB	064-100	A
68	PERI			DyenDB	065-200	A
69	MYNE			DyenDB	066-002	A
70	NESU			DyenDB	067-001	A
71	KAPU			DyenDB	068-200	A
73	INIMA			DyenDB	070-006	A
74	GREU			DyenDB	071-200	A
75	AWA			DyenDB	072-001	A
77	CYNU			DyenDB	074-004	A
79	KU			DyenDB	075-200	A
81	BERBATU			DyenDB	077-005	A
82	EO			DyenDB	078-200	A
83	GLECU			DyenDB	079-200	A
84	KA			DyenDB	080-001	A
85	NEUNDRE			DyenDB	081-001	A
88	STIU			DyenDB	083-003	A
89	LIMNI			DyenDB	084-000	A
91	FRYNZE			DyenDB	086-201	A
92	ASTEGU			DyenDB	087-010	A
93	CORU			DyenDB	088-200	A
96	IDKATU			DyenDB	091-004	A
97	LUNGU			DyenDB	092-200	A
98	BIDUKLU			DyenDB	093-003	A
99	BERBATU			DyenDB	094-003	A
100	MULTI			DyenDB	095-002	A
101	KARNE			DyenDB	096-203	A
103	MAIKA			DyenDB	097-001	A
104	MUNDE			DyenDB	098-002	A
105	GURE			DyenDB	099-003	A
106	NUME			DyenDB	100-003	A
107	STRIMTU			DyenDB	101-200	A
108	APREEPE			DyenDB	102-005	A
109	GUSE			DyenDB	103-100	A
110	NAWE			DyenDB	104-200	A
111	NWAPTE			DyenDB	105-004	A
112	NARE			DyenDB	106-005	A
113	NU			DyenDB	107-005	A
114	VYEKLU			DyenDB	108-010	A
115	UNE			DyenDB	109-200	A
116	ALTU			DyenDB	110-009	A
117	OM			DyenDB	111-207	A
122	AROSE			DyenDB	116-008	A
123	SOSTO			DyenDB	117-003	A
124	ANDEARTU			DyenDB	118-200	A
125	ARUW			DyenDB	119-200	A
126	KALE			DyenDB	120-017	A
127	ARIDICINA			DyenDB	121-003	A
128	FUNI			DyenDB	122-008	A
129	ASPARTU, PRUDITU			DyenDB	123-002	A
131	FREK			DyenDB	124-002	A
132	SARE			DyenDB	125-002	A
133	ARINE			DyenDB	126-206	A
136	MARE			DyenDB	129-203	A
138	SPOR			DyenDB	131-007	A
141	SKURTU			DyenDB	134-012	A
144	KALE			DyenDB	137-205	A
145	DUMNEZE(LU)			DyenDB	138-001	A
147	NIKU			DyenDB	140-001	A
149	FUMU			DyenDB	142-200	A
150	ISKU			DyenDB	143-001	A
151	NEPUNDIKE			DyenDB	144-001	A
152	NEAWE			DyenDB	145-004	A
153	NEDEAME			DyenDB	146-001	A
159	STEAWE			DyenDB	152-004	A
161	KATRE			DyenDB	154-001	A
162	NDREAPTE			DyenDB	155-203	A
164	SWARE			DyenDB	157-203	A
167	KWADE			DyenDB	160-203	A
168	ACEL			DyenDB	161-209	A
169	AKLO			DyenDB	162-200	A
170	AESTI, ACELI (FEM)			DyenDB	163-207	A
171	GROS			DyenDB	164-209	A
172	MINUTU			DyenDB	165-205	A
174	AESTU			DyenDB	167-200	A
175	TINE			DyenDB	168-200	A
176	TRE			DyenDB	169-002	A
13	MYSKU			DyenDB	013-007	A
16	ASKUKU			DyenDB	016-001	A
20	ARTU			DyenDB	019-212	A
24	YINU			DyenDB	023-207	A
25	MISUTU			DyenDB	024-001	A
26	TALU			DyenDB	025-204	A
28	MURI ("HE DIED")			DyenDB	027-003	A
29	SAPU			DyenDB	028-006	A
32	BEAU			DyenDB	031-004	A
38	MYKU			DyenDB	037-004	A
41	KADU			DyenDB	040-003	A
45	MESPARU			DyenDB	044-207	A
56	PITEKSESKU			DyenDB	054-001	A
60	EGLICE			DyenDB	058-204	A
63	DAU			DyenDB	060-200	A
72	AVDU			DyenDB	069-200	A
76	AGUDESKU			DyenDB	073-001	A
86	VATEMU			DyenDB	082-001	A
90	ARYTU			DyenDB	085-003	A
119	TRAGU			DyenDB	113-202	A
120	PINKU			DyenDB	114-003	A
134	ZYKU			DyenDB	127-003	A
137	VEDU			DyenDB	130-003	A
139	KOSU			DyenDB	132-200	A
142	KYNTU			DyenDB	135-003	A
143	SEDU			DyenDB	136-200	A
146	DORMU			DyenDB	139-004	A
148	ANURYATE			DyenDB	141-001	A
154	ASKUKU			DyenDB	147-205	A
155	DISIKU			DyenDB	148-001	A
156	STIRKORU			DyenDB	149-204	A
157	ARUPU			DyenDB	150-001	A
158	STAU			DyenDB	151-202	A
163	SUKU			DyenDB	156-202	A
165	SUFLU			DyenDB	158-206	A
166	KULIMBISESKU			DyenDB	159-001	A
173	MISKIPSESKU			DyenDB	166-001	A
177	ERUK			DyenDB	170-001	A
178	LEGU			DyenDB	171-200	A
184	VOMU			DyenDB	177-004	A
185	IMNU			DyenDB	178-001	A
187	LAU			DyenDB	180-004	A
179	LIMBE			DyenDB	172-200	A
180	DINC			DyenDB	173-003	A
181	ARBURI			DyenDB	174-006	A
183	DWAWE			DyenDB	176-002	A
186	KELDURE			DyenDB	179-003	A
188	APE			DyenDB	181-003	A
189	NOI			DyenDB	182-002	A
190	UDER			DyenDB	183-011	A
191	CI			DyenDB	184-003	A
192	KYNTU			DyenDB	185-200	A
193	YU			DyenDB	186-200	A
194	ALBE			DyenDB	187-200	A
195	KARE			DyenDB	188-200	A
196	LARGU			DyenDB	189-003	A
197	MBLARE			DyenDB	190-208	A
198	VINTU			DyenDB	191-200	A
199	PEANE			DyenDB	192-001	A
201	KU			DyenDB	194-211	A
202	MBLARE			DyenDB	195-004	A
203	PEDURI			DyenDB	196-004	A
204	IERMU			DyenDB	197-203	A
205	VOI			DyenDB	198-200	A
206	ANU			DyenDB	199-002	A
207	GALBINE			DyenDB	200-201	A
