ID	source_form	phon_form	notes	source	cognate_class	reliability
1	KUXT, CU, CUST			DyenDB	001-001	A
2	ET, SE, WOZ			DyenDB	002-001	A
4	PERG			DyenDB	004-100	A
5	TER, DU			DyenDB	005-224	A
6	DUM, URQA			DyenDB	006-208	A
7	SUK			DyenDB	007-001	A
8	DERUXTE PIST			DyenDB	008-210	A
9	CIZER			DyenDB	009-001	A
10	DOR, WANJ, WERD			DyenDB	010-101	A
11	LUP			DyenDB	011-001	A
12	UNGUS			DyenDB	012-001	A
14	SU, SIO			DyenDB	014-007	A
15	WUSEN, XUN			DyenDB	015-011	A
17	YUSC, USTUXON			DyenDB	017-200	A
21	ZA, ZUMAN, KUDUK			DyenDB	020-201	A
22	MOR, WETIS			DyenDB	021-211	A
23	SUR, SOZ			DyenDB	022-005	A
27	ROR, REWOR			DyenDB	026-001	A
30	RIM			DyenDB	029-001	A
31	SUC			DyenDB	030-100	A
33	WESK, XUSK			DyenDB	032-205	A
35	GERD, XSUREM			DyenDB	034-010	A
36	YIS			DyenDB	035-002	A
37	SET, XOK			DyenDB	036-212	A
39	TUXM MURGH			DyenDB	038-003	A
40	CEZM			DyenDB	039-003	A
42	DIR			DyenDB	041-205	A
44	TUT			DyenDB	043-400	A
46	PUR			DyenDB	045-200	A
47	KUM			DyenDB	046-204	A
50	RUXUNIGH			DyenDB	048-001	A
51	KUP			DyenDB	049-006	A
52	PANZ			DyenDB	050-002	A
55	SPREGH, GUL			DyenDB	053-003	A
58	PUED			DyenDB	056-200	A
59	TSEBUR, SUBUR			DyenDB	057-002	A
61	MIWA			DyenDB	059-004	A
64	BUF, XUB			DyenDB	061-205	A
65	WUS			DyenDB	062-012	A
66	SUVZ			DyenDB	063-002	A
67	SINGER			DyenDB	064-001	A
68	SUFS, PICA			DyenDB	065-001	A
69	DUST			DyenDB	066-200	A
70	YA			DyenDB	067-400	A
71	SER			DyenDB	068-205	A
73	PEZUV			DyenDB	070-001	A
74	GHURUNG			DyenDB	071-400	A
75	DREM, HADREM, YEM, YAEI			DyenDB	072-201	A
77	WUDER			DyenDB	074-001	A
79	TSERUNG			DyenDB	075-202	A
81	SAUHER			DyenDB	077-007	A
82	WUZ			DyenDB	078-200	A
83	YUZ			DyenDB	079-100	A
84	UGER			DyenDB	080-010	A
88	DIS-			DyenDB	083-206	A
89	ZOI			DyenDB	084-001	A
91	PULC			DyenDB	086-001	A
92	CUP			DyenDB	087-002	A
93	LENG, PUED			DyenDB	088-201	A
96	JIGAR			DyenDB	091-200	A
97	DEROZ, VERZ			DyenDB	092-200	A
98	SIS			DyenDB	093-010	A
99	MERDINA, DAEI, XULG			DyenDB	094-209	A
100	GHUFC			DyenDB	095-001	A
101	GOST			DyenDB	096-004	A
103	NUN			DyenDB	097-001	A
104	KU(H)			DyenDB	098-003	A
105	GHUS			DyenDB	099-001	A
106	NONG			DyenDB	100-003	A
107	TUNG, BIRIK			DyenDB	101-212	A
108	QERIB, SIS, NEZD			DyenDB	102-203	A
109	GERDON, MAEYUK			DyenDB	103-006	A
110	SEGHD, TOZA			DyenDB	104-200	A
111	NUGHD			DyenDB	105-004	A
112	MIS			DyenDB	106-001	A
113	NE			DyenDB	107-005	A
114	KONA, XAEIYAR			DyenDB	108-001	A
115	YI, I, YIU			DyenDB	109-200	A
116	DIGAR			DyenDB	110-002	A
122	SEKR			DyenDB	116-200	A
123	WERTS, DURUST, BUF, BEROBER			DyenDB	117-200	A
