ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	TOT			DyenDB	001-003	A	001-003
002	ET			DyenDB	002-204	A	002-204
003	BIESSE			DyenDB	003-205	A	003-205
004	CINDE			DyenDB	004-002	A	004-002
005	A			DyenDB	005-200	A	005-202
006	RIN			DyenDB	006-200	A	006-202
007	MAL			DyenDB	007-219	A	007-219
008	PELOTE			DyenDB	008-006	A	008-006
009	PACE QUI			DyenDB	009-010	A	009-010
010	VINTE			DyenDB	010-200	A	010-201
011	GRAND			DyenDB	011-207	A	011-209
012	OUHE			DyenDB	012-200	A	012-200
013	HAGNI			DyenDB		A	
014	NEUR			DyenDB	014-005	A	014-005
015	SONG'			DyenDB	015-003	A	015-003
016	SOFLER, TCHESSI, HUZER, -ELER			DyenDB	016-203	A	016-208
017	OHE			DyenDB	017-200	A	017-200
019	RESPIRER			DyenDB	019-200	A	019-202
020	BROULER			DyenDB	020-212	A	020-214
021	EFANT			DyenDB	021-014	A	021-014
022	NULEYE			DyenDB	022-008	A	022-008
023	FREUD			DyenDB	023-003	A	023-003
024	V(I)NI			DyenDB	024-206	A	024-206
025	COMPTER, CONTER			DyenDB	025-203	A	025-205
026	COPER, TEYI			DyenDB	026-204	A	026-205
027	DJOU			DyenDB	027-003	A	027-003
028	MORI			DyenDB	028-003	A	028-003
029	TCHABOTER			DyenDB		A	
030	MASSI			DyenDB		A	
031	TCHIN			DyenDB	031-003	A	031-003
032	BEURE			DyenDB	032-004	A	032-004
033	SETCH			DyenDB	033-202	A	033-202
034	TOT R'DOHI			DyenDB		A	
035	POUSSIRE			DyenDB	035-004	A	035-004
036	OREYE			DyenDB	036-200	A	036-200
037	TERE, TERE			DyenDB	037-205	A	037-205
038	MAGNI			DyenDB	038-004	A	038-004
039	OU			DyenDB	039-007	A	039-007
040	OUY			DyenDB	040-002	A	040-002
041	TOUMER			DyenDB	041-004	A	041-004
042	LON			DyenDB	042-200	A	042-202
043	CRAHE			DyenDB	043-009	A	043-009
044	PERE			DyenDB	044-209	A	044-210
045	AVEUR SOGNE			DyenDB		A	
