ID	source_form	phon_form	notes	source	cognate_class	reliability
1	GHWUT, HAMAGI			DyenDB	001-200	A
2	AU			DyenDB	002-004	A
3	DZANAWAR			DyenDB	003-400	A
4	TRA			DyenDB	004-001	A
5	KSHE, PA, PERI			DyenDB	005-222	A
6	SHAMZAI			DyenDB	006-101	A
7	BAD, KHAROP			DyenDB	007-203	A
8	PATIKAI			DyenDB	008-400	A
10	GADOLYAI			DyenDB	010-100	A
11	STER			DyenDB	011-203	A
12	MARGHAI			DyenDB	012-002	A
14	TOR			DyenDB	014-008	A
15	WINA			DyenDB	015-013	A
17	HADIKAI			DyenDB	017-204	A
21	WORKAI			DyenDB	020-001	A
22	WERYEZ			DyenDB	021-208	A
23	SOR			DyenDB	022-005	A
27	VREZ, WREZ			DyenDB	026-201	A
30	KHACHEN, KHIRAN			DyenDB	029-013	A
31	SPAI			DyenDB	030-003	A
33	SIR, WUCH			DyenDB	032-207	A
35	KHAIRPAL			DyenDB	034-100	A
36	GHOZH			DyenDB	035-002	A
37	KHOVRA, WATAN			DyenDB	036-001	A
39	YOWYA, YIYA			DyenDB	038-007	A
40	STERGA			DyenDB	039-006	A
42	LIRE, WURIYA			DyenDB	041-206	A
43	WOZDA			DyenDB	042-001	A
44	BABA, PLOR			DyenDB	043-209	A
46	PAKHA			DyenDB	045-003	A
47	LEZH, LEZHKI			DyenDB	046-008	A
50	YOR			DyenDB	048-009	A
52	PINZE			DyenDB	050-002	A
55	GUL			DyenDB	053-003	A
57	BADAL, LERA			DyenDB	055-001	A
58	PSHA			DyenDB	056-202	A
59	TSALOR, TSALWOR, TSALWER			DyenDB	057-002	A
61	MEWA			DyenDB	059-004	A
64	SHE			DyenDB	061-005	A
65	WOSHE			DyenDB	062-012	A
66	SHIN, ZARGHIN			DyenDB	063-201	A
67	KULMA, LARMIN			DyenDB	064-008	A
68	WESHTE			DyenDB	065-007	A
69	LOS			DyenDB	066-202	A
70	AGHA			DyenDB	067-400	A
71	SAR			DyenDB	068-205	A
73	ZRE			DyenDB	070-200	A
74	DRIND, SAKHT			DyenDB	071-004	A
75	DELE, DOLATA			DyenDB	072-002	A
77	NIWEL, SOTEL			DyenDB	074-001	A
79	TSANGRA			DyenDB	075-202	A
81	CHESHTAN, MERE			DyenDB	077-006	A
82	ZE			DyenDB	078-200	A
83	KARANG			DyenDB	079-001	A
84	CHE, KE			DyenDB	080-210	A
85	KSHE, PA...KSHE			DyenDB	081-205	A
88	KHABAR, MOLIM (KNOWN)			DyenDB	083-001	A
91	PONRYE			DyenDB	086-208	A
92	KINR			DyenDB	087-003	A
93	LANGRA, PSHA			DyenDB	088-203	A
96	YENNA			DyenDB	091-009	A
97	WIZHD			DyenDB	092-007	A
98	SPAZHA			DyenDB	093-002	A
99	NAR, NER, SARAI			DyenDB	094-212	A
100	DER			DyenDB	095-206	A
101	GHOSHA, GHESHA			DyenDB	096-004	A
103	MOR, MER			DyenDB	097-200	A
104	GHAR			DyenDB	098-203	A
105	KHWULA			DyenDB	099-100	A
106	NUM			DyenDB	100-003	A
107	TANG			DyenDB	101-212	A
108	NEZDE, TSARMA			DyenDB	102-203	A
