ID	source_form	phon_form	notes	source	cognate_class
1	PAWB			DyenDB	5
2	A			DyenDB	6
4	LLUDW			DyenDB	5
6	CEFEN			DyenDB	7
7	DRWG			DyenDB	4
8	RHISGL			DyenDB	3
11	MAWR			DyenDB	8
12	ADERYN			DyenDB	6
14	DU			DyenDB	6
15	GWAED			DyenDB	2
16	CHWYTHU			DyenDB	2
20	LLOSGI			DyenDB	4
21	PLENTYN			DyenDB	7
22	CWMWL			DyenDB	7
24	DYFOD			DyenDB	4
26	TORRI			DyenDB	7
27	DYDD			DyenDB	3
28	MARW			DyenDB	3
30	BRWNT			DyenDB	5
31	CI			DyenDB	3
32	YFED			DyenDB	4
33	SYCH			DyenDB	2
34	DIFIN			DyenDB	13
35	LLWCH			DyenDB	6
38	BWYTA			DyenDB	8
39	WY			DyenDB	7
40	LLYGAD			DyenDB	4
41	CWYMPO			DyenDB	7
42	PELL			DyenDB	4
45	OFNI			DyenDB	2
46	PLUFYN			DyenDB	5
47	YCHYDIG			DyenDB	4
48	YMLADD			DyenDB	9
50	TAN			DyenDB	6
51	PISGODYN			DyenDB	7
52	PUMP			DyenDB	2
53	NOFIO			DyenDB	4
54	LLIFO			DyenDB	3
55	BLODYN			DyenDB	2
56	HEDFAN			DyenDB	2
57	NIWL			DyenDB	5
59	PEDWAR			DyenDB	2
61	FFRWYTH			DyenDB	9
64	DA			DyenDB	7
69	LLAW			DyenDB	4
71	PEN			DyenDB	4
73	CALON			DyenDB	5
74	TRWM			DyenDB	3
76	BWRW, TARO			DyenDB	10
77	DAL			DyenDB	6
79	SUT			DyenDB	2
83	IA, RHEW			DyenDB	3
86	LLADD			DyenDB	2
90	CHWERTHYN			DyenDB	2
92	CHWITH			DyenDB	15
93	COES			DyenDB	8
94	GORWEDD			DyenDB	4
95	BYW			DyenDB	5
96	AFU			DyenDB	3
97	HIR			DyenDB	4
101	CIG			DyenDB	3
104	MYNYDD			DyenDB	2
106	ENW			DyenDB	3
107	CUL			DyenDB	2
108	AGOS			DyenDB	3
109	GWDDF			DyenDB	4
111	NOS			DyenDB	4
112	TRWYN			DyenDB	2
113	NID			DyenDB	5
114	HEN			DyenDB	8
117	PERSON			DyenDB	6
118	CHWARAE			DyenDB	4
119	TYNNU			DyenDB	10
120	GWTHIO, HWPO			DyenDB	9
121	BWRW GLAW			DyenDB	6
122	COCH			DyenDB	10
123	CYWIR, IAWN			DyenDB	6
124	DE			DyenDB	2
125	AFON			DyenDB	2
126	HEOL			DyenDB	14
127	GWREIDDYN			DyenDB	3
128	RHAFF			DyenDB	7
129	PWDR			DyenDB	3
131	RHWBIO			DyenDB	9
132	HALEN			DyenDB	2
133	TYWOD			DyenDB	8
134	DWEUD, DYWEDYD			DyenDB	10
137	GWELED			DyenDB	4
139	GWNIO			DyenDB	8
140	LLYM			DyenDB	2
141	BYR			DyenDB	2
142	CANU			DyenDB	3
145	AWYR			DyenDB	8
146	CYSGU			DyenDB	8
147	BACH			DyenDB	4
149	MWG			DyenDB	3
151	NEIDR			DyenDB	8
152	EIRA			DyenDB	3
153	RHAI			DyenDB	3
154	POERI			DyenDB	6
156	GWASGU			DyenDB	12
159	SEREN			DyenDB	4
165	CHWYDDO			DyenDB	7
166	NOFIO			DyenDB	8
167	CWT, CYNFFON			DyenDB	12
171	TRWCHUS			DyenDB	6
172	TENAU			DyenDB	2
173	MEDDWL			DyenDB	4
176	TRI			DyenDB	2
177	TAFLU			DyenDB	4
178	CLYMU			DyenDB	5
180	DANT			DyenDB	3
181	COEDEN			DyenDB	5
182	TROI			DyenDB	5
183	DAU			DyenDB	2
185	CERDDED			DyenDB	4
186	TWYM			DyenDB	6
187	GOLCHI			DyenDB	2
188	DWR			DyenDB	5
189	NI			DyenDB	2
190	GWLYB			DyenDB	3
191	BETH			DyenDB	3
194	GWYN			DyenDB	3
197	GWRAIG			DyenDB	3
200	SYCHU			DyenDB	9
206	BLWYDDYN			DyenDB	6
207	MELYN			DyenDB	2
