ID	source_form	phon_form	notes	source	cognate_class	reliability	original_cognate_class
001	POB, CYFAN			DyenDB	001-005	A	001-005
002	A			DyenDB	002-006	A	002-006
003	ANIFAIL			DyenDB	003-209	A	003-209
004	LLUDW			DyenDB	004-005	A	004-005
005	YN, WRTH			DyenDB	005-200	A	005-207
006	CEFN (NOUN), YN OL			DyenDB	006-007	A	006-007
007	DRWG			DyenDB	007-004	A	007-004
008	RHISGL			DyenDB	008-003	A	008-003
009	OHERWYDD, AM, GAN			DyenDB		A	
010	BOL, BOLA			DyenDB	010-204	A	010-204
011	MAWR			DyenDB	011-008	A	011-008
012	ADERYN, EDN			DyenDB	012-006	A	012-006
013	BRATHU			DyenDB		A	
014	DU			DyenDB	014-006	A	014-006
015	GWAED			DyenDB	015-002	A	015-002
016	GHWYTHU			DyenDB	016-002	A	016-002
017	ASGWRN			DyenDB	017-200	A	017-200
019	ANADLU			DyenDB	019-200	A	019-200
020	LLOSGI			DyenDB	020-004	A	020-004
021	PLENTYN			DyenDB	021-007	A	021-007
022	CWMWL			DyenDB	022-007	A	022-007
023	OER			DyenDB	023-205	A	023-205
024	DOD			DyenDB	024-004	A	024-004
025	CYFRIF			DyenDB	025-210	A	025-210
026	TORRI			DyenDB	026-007	A	026-007
027	DYDD			DyenDB	027-003	A	027-003
028	MARW			DyenDB	028-003	A	028-003
029	PALU (DIG A GARDEN) CLODDIO (DIG FOR GOLD)			DyenDB	029-200	A	029-201
030	BUDR, BRWNT			DyenDB	030-005	A	030-005
031	CI			DyenDB	031-003	A	031-003
032	YFED			DyenDB	032-004	A	032-004
033	SYCH			DyenDB	033-002	A	033-002
034	DI-FIN, DI-AWCH (DI= NEGATIVE PARTICLE)			DyenDB	034-013	A	034-013
035	LLWCH			DyenDB	035-006	A	035-006
036	CLUST			DyenDB	036-200	A	036-202
037	PRIDD, DAEAR			DyenDB	037-208	A	037-209
038	BWYTA			DyenDB	038-008	A	038-008
039	WY			DyenDB	039-007	A	039-007
040	LLYGAD			DyenDB	040-004	A	040-004
041	GOLLWNG, CWYMPO			DyenDB	041-007	A	041-007
042	PELL			DyenDB	042-004	A	042-004
043	BRASTER, BLONEG			DyenDB	043-200	A	043-201
044	TAD			DyenDB	044-205	A	044-205
045	OFNI			DyenDB	045-002	A	045-002
046	PLUEN			DyenDB	046-005	A	046-005
047	YCHYDIG			DyenDB	047-004	A	047-004
