afr	Afrikaans
als	Albanian_G
hye	Armenian_Mod
ben	Bengali
bgp	Baluchi
bel	Byelorussian
bre	Breton_ST
bul	Bulgarian
cat	Catalan
ces	Czech
prs	Afghan
dan	Danish
nld	Dutch_List
zea	Flemish
eng	English_ST
fao	Faroese
fra	French
frs	Frisian
deu	German_ST
ell	Greek_Mod
guj	Gujarati
hat	French_Creole_C
hin	Hindi
isl	Icelandic_ST
gle	Irish_B
ita	Italian
kas	Kashmiri
lav	Latvian
lld	Ladin
lit	Lithuanian_ST
mkd	Macedonian
mar	Marathi
nep	Nepali_List
oss	Ossetic
pan	Panjabi_ST
pol	Polish
por	Portuguese_ST
prv	Provencal
pes	Persian_List
pst	Waziri
rmy	Gypsy_Gk
ron	Rumanian_List
rus	Russian
xsl	Slovenian
sin	Singhalese
hsb	Lusatian_U
spa	Spanish
hsb	Lusatian_L
sro	Sardinian_C
swe	Swedish_List
tbc	Tadzik
ukr	Ukrainian
wbl	Wakhi
cym	Welsh_N
hit	Hittite
xto	Tocharian_A
