afr	Afrikaans
alb	Albanian_G
arm	Armenian_Mod
ben	Bengali
blc	Baluchi
blr	Byelorussian
bre	Breton_ST
bul	Bulgarian
ctl	Catalan
cze	Czech
dri	Afghan
dsh	Danish
dut	Dutch_List
duz	Flemish
eng	English_ST
far	Faroese
fre	French
fri	Frisian
ger	German_ST
grk	Greek_Mod
guj	Gujarati
hcr	French_Creole_C
hin	Hindi
ice	Icelandic_ST
iri	Irish_B
ita	Italian
kas	Kashmiri
lat	Latvian
ldn	Ladin
lit	Lithuanian_ST
mcd	Macedonian
mhi	Marathi
nep	Nepali_List
oss	Ossetic
pan	Panjabi_ST
pol	Polish
por	Portuguese_ST
pro	Provencal
prs	Persian_List
psh	Waziri
rlo	Gypsy_Gk
rom	Rumanian_List
rus	Russian
slv	Slovenian
snh	Singhalese
sou	Lusatian_U
spa	Spanish
srb	Lusatian_L
srd	Sardinian_C
swe	Swedish_List
tak	Tadzik
ukr	Ukrainian
wak	Wakhi
wel	Welsh_N
xhit	Hittite
xxto	Tocharian_A
