156|Abaev 1959–1995|Abaev, V. I. (1959–1995). Istoriko-etimologicheskij slovar’ osetinskogo jazyka [A Historical-Etymological Dictionary of the Ossetic Language]. 5 volumes: A – K (1959), L – R (1973), S – T (1979), U – Z (1989), Register (1995). Leningrad and Moscow: Nauka.
436|Adams 1982|Adams, Douglas Q. (1982). “Studies in Tocharian Vocabulary”. In: Journal of the American Oriental Society 102, pp. 133–136.
148|Adams 1999a|Adams, Douglas Q. (1999a). A Dictionary and Thesaurus of Tocharian A. Amsterdam and Atlanta: Rodopi.
161|Adams 1999b|Adams, Douglas Q. (1999b). Dictionary of Tocharian B. Amsterdam: Rodopi.
345|Adams 2013|Adams, Douglas Q. (2013). A Dictionary of Tocharian B. second revised and greatly enlarged edition. Amsterdam: Rodopi.
177|Ahlner, Felix|Ahlner, Felix. The Elfdalian dialect of Swedish. PhD Linguistics, Lund University, unpublished Ms. provided by Gerd Carling 2013-02-27.
96|Al et al. 1983|Al, B. P. F. et al. (1983). Groot woordenboek Duits-Nederlands. Utrecht and Antwerpen: Van Dale Lexicografie. isbn: 9789066481022.
87|Albanian Swadesh list from en.wiktionary.org|Albanian Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Albanian_Swadesh_list.
447|Alff 1906|Alff, S. et al. (1906). Wörterbuch der luxemburgischen Mundart. Second Luxembourgish Dictionary from 1906. 1 Volume. Luxemburg: Huss.
291|Allen 1987|Allen, William Sidney (1987). Vox Graeca. The Pronunciation of Ancient Greek. 3rd ed. Cambridge: Cambridge University Press.
426|Anagnostopulos 1926|Anagnostopulos, G. P. (1926). Tsakonische Grammatik. Texte und Forschungen zur byzantinisch-neugriechischen Philologie 5. Berlin and Athen: Urania and Sakellarios.
118|Ancient Greek Swadesh list from en.wiktionary.org|Ancient Greek Swadesh list from en.wiktionary.org. url: http://en.wiktionary.org/wiki/Appendix:Ancient_Greek_Swadesh_list.
228|Anderson, Cormac|Anderson, Cormac. Max Planck Institute for Evolutionary Anthropology.
