ID	MEANING
1	ALL
2	AND
3	ANIMAL
4	ASHES
5	AT
6	BACK (PERSON'S)
7	BAD (UNSUITABLE, DELETERIOUS)
8	BARK (OF A TREE)
9	BECAUSE
10	BELLY
11	BIG
12	BIRD
13	TO BITE
14	BLACK
15	BLOOD
16	TO BLOW (WIND)
17	BONE
18	BREAST
19	TO BREATHE
20	TO BURN (INTR.)
21	CHILD (YOUNG)
22	CLOUD
23	COLD (WEATHER)
24	TO COME
25	TO COUNT
26	TO CUT
27	DAY (NOT NIGHT)
28	TO DIE
29	TO DIG
30	DIRTY
31	DOG
32	TO DRINK
33	DRY (SUBSTANCE)
34	DULL (KNIFE)
35	DUST
36	EAR
37	EARTH (SOIL)
38	TO EAT
39	EGG
40	EYE
41	TO FALL (DROP)
42	FAR
43	FAT (SUBSTANCE)
44	FATHER
45	TO FEAR
46	FEATHER (LARGE)
47	FEW (NOT MANY)
48	TO FIGHT
49	FINGERNAIL
50	FIRE
51	FISH
52	FIVE
53	TO FLOAT
54	TO FLOW
55	FLOWER
56	TO FLY
57	FOG
58	FOOT
59	FOUR
60	TO FREEZE
61	FRUIT
62	FULL
63	TO GIVE
64	GOOD
65	GRASS
66	GREEN
67	GUTS
68	HAIR (OF HEAD)
69	HAND
70	HE
71	HEAD
72	TO HEAR
73	HEART
74	HEAVY
75	HERE
76	TO HIT (STRIKE, WITH FIST)
77	HOLD (IN HAND)
78	HORN
79	HOW?
80	TO HUNT (GAME)
81	HUSBAND
82	I
83	ICE
84	IF
85	IN
86	TO KILL
87	KNEE
88	KNOW (FACTS)
89	LAKE
90	TO LAUGH
91	LEAF
92	LEFT (HAND, SIDE)
93	LEG
94	TO LIE (ON SIDE)
95	TO LIVE (BE ALIVE)
96	LIVER
97	LONG (in space)
98	LOUSE
99	MAN (MALE HUMAN)
100	MANY
101	MEAT (FLESH)
102	MOON
103	MOTHER
104	MOUNTAIN
105	MOUTH
106	NAME
107	NARROW
108	NEAR
109	NECK
110	NEW
111	NIGHT
112	NOSE
113	NOT
114	OLD (THING)
115	ONE
116	OTHER
117	PERSON (HUMAN BEING)
118	TO PLAY (GAMES)
119	TO PULL
120	TO PUSH
121	TO RAIN
122	RED
123	RIGHT (CORRECT)
124	RIGHT (HAND, SIDE)
125	RIVER
126	ROAD (PATH)
127	ROOT
128	ROPE
129	ROTTEN (LOG)
130	ROUND
131	RUB
132	SALT
133	SAND
134	TO SAY
135	SCRATCH (ITCH)
136	SEA (OCEAN)
137	TO SEE
138	SEED
139	TO SEW
140	SHARP (KNIFE)
141	SHORT
142	TO SING
143	TO SIT
144	SKIN (OF PERSON)
145	SKY
146	TO SLEEP
147	SMALL
148	TO SMELL (PERCEIVE ODOR)
149	SMOKE (OF FIRE)
150	SMOOTH
151	SNAKE
152	SNOW
153	SOME
154	TO SPIT
155	TO SPLIT
156	TO SQUEEZE
157	TO STAB (OR STICK)
158	TO STAND (PERSON)
159	STAR
160	STICK (OF WOOD)
161	STONE
162	STRAIGHT
163	TO SUCK
164	SUN
165	TO SWELL
166	TO SWIM
167	TAIL (LAND ANIMAL)
168	THAT
169	THERE
170	THEY
171	THICK
172	THIN
173	TO THINK (cogitate)
174	THIS
175	THOU/YOU (sg.)
176	THREE
177	TO THROW
178	TO TIE
179	TONGUE
180	TOOTH (FRONT)
181	TREE
182	TO TURN (VEER)
183	TWO
184	TO VOMIT
185	TO WALK
186	WARM (WEATHER)
187	TO WASH
188	WATER
189	WE
190	WET (OBJECTS)
191	WHAT?
192	WHEN?
193	WHERE?
194	WHITE
195	WHO?
196	WIDE
197	WIFE
198	WIND (BREEZE)
199	WING
200	TO WIPE
201	WITH (ACCOMPANYING)
202	WOMAN
203	WOODS
204	WORM
205	YE (pl.)
206	YEAR
207	YELLOW
